portfolio_id,desk_id,office_id,pf_category,start_date, sold ,country_code,euribor_rate,currency,libor_rate, bought ,creation_date,indicator_code,sell_date,type,hedge_value,status,return_p, absolute_return ,period_of_holding,start-create,start-sell,create-sell,returnf, return , abret/bought , diff_ret ,gain,interest_rate,principal_amount
PF00001043,DSK00001036,OFF00001001,A,9/10/2004,"38,819,000",T,0.02076,USD,2.367102273,"38,751,830",9/10/2004,no_in_code,10/14/2004,A,no_hedge_value,no_status,2%,"67,169.84",34,0,34,34,2%,0.02496,0.001733333,0.023226667,37784584.32,97.504,76536414.32
PF00001044,DSK00001037,OFF00001001,A,9/10/2004,"73,557,000",T,0.02076,USD,2.367102273,"73,429,722",9/10/2004,no_in_code,10/14/2004,A,no_hedge_value,no_status,2%,"127,278.18",34,0,34,34,2%,0.02496,0.001733333,0.023226667,71596916.14,97.504,145026638.1
PF00001046,DSK00001039,OFF00001001,A,9/13/2004,"68,343,000",T,0.02076,USD,2.367102273,"68,224,886",9/13/2004,no_in_code,10/15/2004,A,no_hedge_value,no_status,2%,"118,114.33",32,0,32,32,2%,0.02493,0.00173125,0.02319875,66524039.59,97.507,134748925.6
PF00001048,DSK00001041,OFF00001002,B,10/6/2004,"134,200,000",T,0.02079,USD,2.469196667,"133,949,960",10/6/2004,no_in_code,11/9/2004,B,no_hedge_value,no_status,3%,"250,039.93",34,0,34,34,3%,0.0252,0.001866667,0.023333333,130574421,97.48,264524381
PF00001054,DSK00001044,OFF00001001,A,10/11/2004,"165,792,000",T,0.02079,USD,2.469196667,"165,475,356",10/11/2004,no_in_code,11/15/2004,A,no_hedge_value,no_status,3%,"316,643.99",35,0,35,35,3%,0.02505,0.001913542,0.023136458,161330198.3,97.495,326805554.3
PF00001052,DSK00001042,OFF00001001,A,10/7/2004,"138,083,000",T,0.02079,USD,2.469196667,"137,842,924",10/7/2004,no_in_code,11/10/2004,A,no_hedge_value,no_status,3%,"240,076.43",34,0,34,34,3%,0.02508,0.001741667,0.023338333,134385823.5,97.492,272228747.5
PF00001055,DSK00001044,OFF00001002,B,10/11/2004,"41,800,000",T,0.02079,USD,2.469196667,"41,720,167",10/11/2004,no_in_code,11/15/2004,B,no_hedge_value,no_status,3%,"79,833.28",35,0,35,35,3%,0.02505,0.001913542,0.023136458,40675076.82,97.495,82395243.82
PF00001056,DSK00001045,OFF00001001,A,10/11/2004,"254,232,000",T,0.02079,USD,2.469196667,"252,824,505",10/11/2004,no_in_code,1/14/2005,A,no_hedge_value,no_status,3%,"1,407,495.09",95,0,95,95,3%,0.02586,0.005567083,0.020292917,246286463.3,97.414,499110968.3
PF00001057,DSK00001046,OFF00001001,A,10/11/2004,"126,214,000",T,0.02079,USD,2.469196667,"125,972,946",10/11/2004,no_in_code,11/15/2004,A,no_hedge_value,no_status,3%,"241,054.48",35,0,35,35,3%,0.02505,0.001913542,0.023136458,122817323.7,97.495,248790269.7
PF00001058,DSK00001047,OFF00001001,A,10/12/2004,"45,760,000",T,0.02079,USD,2.469196667,"45,672,499",10/12/2004,no_in_code,11/16/2004,A,no_hedge_value,no_status,3%,"87,500.90",35,0,35,35,3%,0.02508,0.001915833,0.023164167,44527032.73,97.492,90199531.73
PF00001061,DSK00001051,OFF00001001,A,10/15/2004,"82,962,000",T,0.02079,USD,2.469196667,"82,506,040",10/15/2004,no_in_code,1/19/2005,A,no_hedge_value,no_status,3%,"455,960.46",96,0,96,96,3%,0.02595,0.005526389,0.020423611,80365008.26,97.405,162871048.3
PF00001062,DSK00001052,OFF00001001,A,10/27/2004,"44,066,000",T,0.02079,USD,2.469196667,"43,986,647",10/27/2004,no_in_code,11/29/2004,A,no_hedge_value,no_status,3%,"79,353.13",33,0,33,33,3%,0.02514,0.001804028,0.023335972,42880822.69,97.486,86867469.69
PF00001063,DSK00001053,OFF00001002,B,8/13/2004,"88,154,000",T,0.02079,USD,2.469196667,"88,001,464",10/27/2004,no_in_code,9/16/2004,B,no_hedge_value,no_status,2%,"152,535.87",-41,75,34,-41,2%,0.02496,0.001733333,0.023226667,85804947.46,97.504,173806411.5
PF00001064,DSK00001054,OFF00001001,A,10/27/2004,"88,165,000",T,0.02079,USD,2.469196667,"88,002,294",10/27/2004,no_in_code,10/18/2004,A,no_hedge_value,no_status,2%,"162,706.46",-9,0,-9,-9,2%,0.02496,0.001848889,0.023111111,85805756.74,97.504,173808050.7
PF00001065,DSK00001055,OFF00001001,A,10/27/2004,"88,165,000",T,0.02079,USD,2.469196667,"88,006,234",10/27/2004,no_in_code,11/18/2004,A,no_hedge_value,no_status,3%,"158,765.69",22,0,22,22,3%,0.02514,0.001804028,0.023335972,85793757.28,97.486,173799991.3
PF00001066,DSK00001056,OFF00001001,A,9/29/2004,"143,143,000",T,0.02079,USD,2.469196667,"142,903,270",10/28/2004,no_in_code,10/29/2004,A,no_hedge_value,no_status,2%,"239,730.16",1,29,30,1,2%,0.02499,0.001677569,0.023312431,139332117.3,97.501,282235387.3
PF00001070,DSK00001060,OFF00001001,A,10/28/2004,"442,354,000",T,0.02079,USD,2.469196667,"440,001,641",10/28/2004,no_in_code,10/15/2004,A,no_hedge_value,no_status,3%,"2,352,358.77",-13,0,-13,-13,3%,0.02538,0.00534625,0.02003375,428834399.4,97.462,868836040.4
PF00001071,DSK00001061,OFF00001001,A,10/15/2004,"365,321,000",T,0.02079,USD,2.469196667,"364,663,138",10/28/2004,no_in_code,11/18/2004,A,no_hedge_value,no_status,3%,"657,862.43",21,13,34,21,3%,0.02514,0.001804028,0.023335972,355495506.7,97.486,720158644.7
PF00001072,DSK00001062,OFF00001001,A,9/14/2004,"365,563,000",T,0.02079,USD,2.469196667,"364,888,362",10/28/2004,no_in_code,10/18/2004,A,no_hedge_value,no_status,2%,"674,638.04",-10,44,34,-10,2%,0.02496,0.001848889,0.023111111,355780748.5,97.504,720669110.5
PF00001073,DSK00001048,OFF00001001,A,10/13/2004,"282,315,000",T,0.02079,USD,2.469196667,"281,775,166",10/29/2004,no_in_code,11/17/2004,A,no_hedge_value,no_status,3%,"539,834.26",19,16,35,19,3%,0.02508,0.001915833,0.023164167,274708244.8,97.492,556483410.8
PF00001074,DSK00001048,OFF00001002,B,10/13/2004,"77,000,000",T,0.02079,USD,2.469196667,"76,852,763",10/29/2004,no_in_code,11/17/2004,B,no_hedge_value,no_status,3%,"147,237.08",19,16,35,19,3%,0.02508,0.001915833,0.023164167,74925295.7,97.492,151778058.7
PF00001075,DSK00001063,OFF00001002,B,11/5/2004,"134,200,000",T,0.02093,USD,2.803863636,"133,973,362",11/5/2004,no_in_code,12/8/2004,B,no_hedge_value,no_status,3%,"226,638.27",33,0,33,33,3%,0.0252,0.001691667,0.023508333,130597233.3,97.48,264570595.3
PF00001076,DSK00001063,OFF00001001,A,11/5/2004,"49,346,000",T,0.02093,USD,2.803863636,"49,262,664",11/5/2004,no_in_code,12/8/2004,A,no_hedge_value,no_status,3%,"83,336.01",33,0,33,33,3%,0.0252,0.001691667,0.023508333,48021244.87,97.48,97283908.87
PF00001079,DSK00001066,OFF00001001,A,9/15/2004,"99,176,000",T,0.02093,USD,2.803863636,"99,004,392",11/8/2004,no_in_code,10/15/2004,A,no_hedge_value,no_status,2%,"171,607.61",-24,54,30,-24,2%,0.02496,0.001733333,0.023226667,96533242.38,97.504,195537634.4
PF00001080,DSK00001067,OFF00001001,A,8/15/2004,"99,176,000",T,0.02093,USD,2.803863636,"99,004,392",11/8/2004,no_in_code,9/15/2004,A,no_hedge_value,no_status,2%,"171,607.61",-54,85,31,-54,2%,0.02496,0.001733333,0.023226667,96533242.38,97.504,195537634.4
PF00001081,DSK00001068,OFF00001001,A,10/8/2004,"81,290,000",T,0.02093,USD,2.803863636,"81,143,963",11/8/2004,no_in_code,11/12/2004,A,no_hedge_value,no_status,3%,"146,036.59",4,31,35,4,3%,0.02508,0.001799722,0.023280278,79108872.41,97.492,160252835.4
PF00001082,DSK00001069,OFF00001001,A,10/13/2004,"387,178,000",T,0.02093,USD,2.803863636,"385,006,563",11/9/2004,no_in_code,1/17/2005,A,no_hedge_value,no_status,3%,"2,171,437.02",69,27,96,69,3%,0.02592,0.00564,0.02028,375027192.9,97.408,760033755.9
PF00001083,DSK00001070,OFF00001001,A,11/9/2004,"82,654,000",T,0.02093,USD,2.803863636,"82,504,804",11/9/2004,no_in_code,12/13/2004,A,no_hedge_value,no_status,3%,"149,196.19",34,0,34,34,3%,0.0252,0.001808333,0.023391667,80425682.94,97.48,162930486.9
PF00001084,DSK00001071,OFF00001001,A,11/10/2004,"111,108,800",T,0.02093,USD,2.803863636,"110,927,360",11/10/2004,no_in_code,12/13/2004,A,no_hedge_value,no_status,3%,"181,440.18",33,0,33,33,3%,0.02524,0.001635667,0.023600333,108127997.1,97.4764,219055357.1
PF00001089,DSK00001075,OFF00001001,A,11/12/2004,"83,490,000",T,0.02093,USD,2.803863636,"83,051,454",11/12/2004,no_in_code,2/11/2005,A,no_hedge_value,no_status,3%,"438,546.28",91,0,91,91,3%,0.02622,0.005280417,0.020939583,80873844.88,97.378,163925298.9
PF00001090,DSK00001076,OFF00001001,A,11/12/2004,"91,333,000",T,0.02093,USD,2.803863636,"90,846,165",11/12/2004,no_in_code,10/25/2004,A,no_hedge_value,no_status,3%,"486,834.51",-18,0,-18,-18,3%,0.02544,0.005358889,0.020081111,88535038.56,97.456,179381203.6
PF00001091,DSK00001077,OFF00001001,A,11/12/2004,"109,450,000",T,0.02093,USD,2.803863636,"108,847,769",11/12/2004,no_in_code,1/25/2005,A,no_hedge_value,no_status,3%,"602,230.52",74,0,74,74,3%,0.02598,0.005532778,0.020447222,106019904,97.402,214867673
PF00001093,DSK00001079,OFF00001002,B,11/15/2004,"44,077,000",T,0.02093,USD,2.803863636,"44,004,817",11/15/2004,no_in_code,12/15/2004,B,no_hedge_value,no_status,3%,"72,182.57",30,0,30,30,3%,0.02531,0.001640333,0.023667667,42891143.09,97.4692,86895960.09
PF00001094,DSK00001080,OFF00001001,A,11/15/2004,"340,428,000",T,0.02093,USD,2.803863636,"339,850,622",11/15/2004,no_in_code,12/16/2004,A,no_hedge_value,no_status,3%,"577,377.89",31,0,31,31,3%,0.02531,0.001698917,0.023609083,331249682.5,97.4692,671100304.5
PF00001096,DSK00001081,OFF00001001,A,11/16/2004,"88,154,000",T,0.02093,USD,2.803863636,"88,009,396",11/16/2004,no_in_code,12/16/2004,A,no_hedge_value,no_status,3%,"144,604.33",30,0,30,30,3%,0.02535,0.001643056,0.023706944,85778357.81,97.465,173787753.8
PF00001097,DSK00001082,OFF00001001,A,11/16/2004,"356,312,000",T,0.02093,USD,2.803863636,"355,748,361",11/16/2004,no_in_code,12/15/2004,A,no_hedge_value,no_status,3%,"563,638.81",29,0,29,29,3%,0.02535,0.001584375,0.023765625,346730140,97.465,702478501
PF00001098,DSK00001083,OFF00001001,A,8/10/2004,"451,836,000",T,0.02093,USD,2.803863636,"451,003,148",11/22/2004,no_in_code,9/13/2004,A,no_hedge_value,no_status,2%,"832,852.48",-70,104,34,-70,2%,0.02493,0.001846667,0.023083333,439759639.5,97.507,890762787.5
PF00001101,DSK00001086,OFF00001001,A,11/22/2004,"99,176,000",T,0.02093,USD,2.803863636,"99,002,498",11/22/2004,no_in_code,12/15/2004,A,no_hedge_value,no_status,3%,"173,501.88",23,0,23,23,3%,0.02524,0.0017525,0.0234835,96504070.96,97.4764,195506569
PF00001102,DSK00001087,OFF00001001,A,11/22/2004,"451,739,200",T,0.02093,USD,2.803863636,"451,001,512",11/22/2004,no_in_code,12/13/2004,A,no_hedge_value,no_status,3%,"737,688.14",21,0,21,21,3%,0.02524,0.001635667,0.023600333,439620037.8,97.4764,890621549.8
PF00001103,DSK00001088,OFF00001001,A,11/25/2004,"42,185,550",T,0.02093,USD,2.803863636,"42,108,497",11/25/2004,no_in_code,12/30/2004,A,no_hedge_value,no_status,3%,"77,052.70",35,0,35,35,3%,0.0255,0.001829861,0.023670139,41034730.33,97.45,83143227.33
PF00001106,DSK00001090,OFF00001002,B,12/6/2004,"134,200,000",T,0.02169,USD,2.752962174,"133,929,908",12/6/2004,no_in_code,1/10/2005,B,no_hedge_value,no_status,3%,"270,091.98",35,0,35,35,3%,0.0264,0.002016667,0.024383333,130394158.4,97.36,264324066.4
PF00001109,DSK00001093,OFF00001001,A,12/9/2004,"81,477,000",T,0.02169,USD,2.752962174,"81,321,960",12/9/2004,no_in_code,1/13/2005,A,no_hedge_value,no_status,3%,"155,040.32",35,0,35,35,3%,0.02657,0.0019065,0.0246615,79161398.17,97.3432,160483358.2
PF00001110,DSK00001094,OFF00001001,A,12/10/2004,"62,513,000",T,0.02169,USD,2.752962174,"62,393,617",12/10/2004,no_in_code,1/14/2005,A,no_hedge_value,no_status,3%,"119,383.25",35,0,35,35,3%,0.02666,0.001913389,0.024750611,60729953.6,97.3336,123123570.6
PF00001111,DSK00001095,OFF00001001,A,12/10/2004,"159,973,000",T,0.02169,USD,2.752962174,"159,135,008",12/10/2004,no_in_code,3/11/2005,A,no_hedge_value,no_status,3%,"837,991.69",91,0,91,91,3%,0.02615,0.005265917,0.020882083,154973945.8,97.3852,314108953.8
PF00001116,DSK00001100,OFF00001002,B,12/13/2004,"40,788,000",T,0.02169,USD,2.752962174,"40,704,979",12/13/2004,no_in_code,1/17/2005,B,no_hedge_value,no_status,3%,"83,021.20",35,0,35,35,3%,0.0267,0.002039583,0.024660417,39618156.06,97.33,80323135.06
PF00001117,DSK00001101,OFF00001001,A,12/13/2004,"330,385,000",T,0.02169,USD,2.752962174,"329,751,076",12/13/2004,no_in_code,1/13/2005,A,no_hedge_value,no_status,3%,"633,923.55",31,0,31,31,3%,0.02679,0.001922431,0.024867569,320917044.7,97.321,650668120.7
PF00001118,DSK00001102,OFF00001001,A,12/14/2004,"411,026,000",T,0.02169,USD,2.752962174,"410,212,867",12/14/2004,no_in_code,1/17/2005,A,no_hedge_value,no_status,3%,"813,133.06",34,0,34,34,3%,0.02676,0.001982222,0.024777778,399235570.7,97.324,809448437.7
PF00001121,DSK00001104,OFF00001002,B,12/14/2004,"88,187,000",T,0.02169,USD,2.752962174,"88,007,099",12/14/2004,no_in_code,1/18/2005,B,no_hedge_value,no_status,3%,"179,901.18",35,0,35,35,3%,0.02676,0.002044167,0.024715833,85652029.03,97.324,173659128
PF00001122,DSK00001105,OFF00001001,A,12/14/2004,"312,928,000",T,0.02169,USD,2.752962174,"312,235,773",12/14/2004,no_in_code,1/20/2005,A,no_hedge_value,no_status,3%,"692,226.71",37,0,37,37,3%,0.0266,0.002217,0.024387,303929052.5,97.3396,616164825.5
PF00001124,DSK00001106,OFF00001001,A,12/13/2004,"451,869,000",T,0.02169,USD,2.752962174,"451,008,763",12/15/2004,no_in_code,1/13/2005,A,no_hedge_value,no_status,3%,"860,236.58",29,2,31,29,3%,0.02658,0.001907361,0.024672639,439020950.1,97.342,890029713.1
PF00001125,DSK00001107,OFF00001001,A,12/15/2004,"99,209,000",T,0.02169,USD,2.752962174,"99,006,886",12/15/2004,no_in_code,1/17/2005,A,no_hedge_value,no_status,3%,"202,114.31",33,0,33,33,3%,0.02672,0.002041417,0.024682583,96361025.98,97.3276,195367912
PF00001127,DSK00001109,OFF00001001,A,12/29/2004,"144,870,000",T,0.02169,USD,2.752962174,"144,595,449",12/29/2004,no_in_code,1/31/2005,A,no_hedge_value,no_status,3%,"274,550.61",33,0,33,33,3%,0.02646,0.00189875,0.02456125,140769453.4,97.354,285364902.4
PF00001128,DSK00001110,OFF00001002,B,1/6/2005,"134,200,000",T,0.02125,USD,3.065566191,"133,972,715",1/6/2005,no_in_code,2/8/2005,B,no_hedge_value,no_status,3%,"227,284.71",33,0,33,33,3%,0.02527,0.0016965,0.0235755,130586956.5,97.4728,264559671.5
PF00001129,DSK00001110,OFF00001001,A,1/6/2005,"60,027,000",T,0.02125,USD,3.065566191,"59,925,337",1/6/2005,no_in_code,2/8/2005,A,no_hedge_value,no_status,3%,"101,663.33",33,0,33,33,3%,0.02527,0.0016965,0.0235755,58410903.88,97.4728,118336240.9
PF00001130,DSK00001111,OFF00001001,A,1/7/2005,"21,164,000",T,0.02125,USD,3.065566191,"21,128,139",1/7/2005,no_in_code,2/9/2005,A,no_hedge_value,no_status,3%,"35,860.91",33,0,33,33,3%,0.02528,0.001697306,0.023586694,20593935.13,97.4716,41722074.13
PF00001131,DSK00001112,OFF00001001,A,1/10/2005,"153,021,000",N,0.02125,GBP,4.688721429,"152,456,701",1/10/2005,no_in_code,2/9/2005,C,no_hedge_value,no_status,6%,"564,298.64",30,0,30,30,6%,0.0579,0.00370137,0.05419863,143629458,94.21,296086159
PF00001137,DSK00001118,OFF00001001,A,1/12/2005,"131,153,000",T,0.02125,USD,3.065566191,"130,938,624",1/12/2005,no_in_code,2/11/2005,A,no_hedge_value,no_status,3%,"214,375.63",30,0,30,30,3%,0.02526,0.001637222,0.023622778,127631114.4,97.474,258569738.4
PF00001136,DSK00001117,OFF00001001,A,1/12/2005,"62,513,000",T,0.02125,USD,3.065566191,"62,399,731",1/12/2005,no_in_code,2/14/2005,A,no_hedge_value,no_status,3%,"113,269.38",33,0,33,33,3%,0.0253,0.001815222,0.023480778,60821267.4,97.4704,123220998.4
PF00001138,DSK00001119,OFF00001001,A,1/13/2005,"41,877,000",T,0.02125,USD,3.065566191,"41,806,210",1/13/2005,no_in_code,2/15/2005,A,no_hedge_value,no_status,3%,"70,789.53",33,0,33,33,3%,0.02522,0.001693278,0.023530722,40751690.16,97.4776,82557900.16
PF00001139,DSK00001120,OFF00001001,A,1/13/2005,"387,024,000",T,0.02125,USD,3.065566191,"385,005,289",1/13/2005,no_in_code,4/15/2005,A,no_hedge_value,no_status,3%,"2,018,711.06",92,0,92,92,3%,0.02574,0.005243333,0.020496667,375095252.9,97.426,760100541.9
PF00001140,DSK00001121,OFF00001002,B,1/13/2005,"22,000,000",T,0.02125,USD,3.065566191,"21,960,232",1/13/2005,no_in_code,2/17/2005,B,no_hedge_value,no_status,3%,"39,768.15",35,0,35,35,3%,0.02524,0.001810917,0.023425083,21406043.59,97.4764,43366275.59
PF00001141,DSK00001121,OFF00001001,A,1/13/2005,"168,157,000",T,0.02125,USD,3.065566191,"167,853,032",1/13/2005,no_in_code,2/17/2005,A,no_hedge_value,no_status,3%,"303,967.85",35,0,35,35,3%,0.02524,0.001810917,0.023425083,163617092.9,97.4764,331470124.9
PF00001146,DSK00001125,OFF00001001,A,1/14/2005,"59,059,000",T,0.02125,USD,3.065566191,"58,959,142",1/14/2005,no_in_code,2/16/2005,A,no_hedge_value,no_status,3%,"99,857.95",33,0,33,33,3%,0.02523,0.001693681,0.023536319,57471602.85,97.477,116430744.8
PF00001147,DSK00001126,OFF00001001,A,1/17/2005,"82,951,000",T,0.02125,USD,3.065566191,"82,508,753",1/17/2005,no_in_code,4/19/2005,A,no_hedge_value,no_status,3%,"442,246.92",92,0,92,92,3%,0.02573,0.00536,0.020368,80385967.8,97.4272,162894720.8
PF00001144,DSK00001123,OFF00001001,A,1/13/2005,"112,816,000",T,0.02125,USD,3.065566191,"112,625,475",1/13/2005,no_in_code,2/15/2005,A,no_hedge_value,no_status,3%,"190,524.76",33,0,33,33,3%,0.0252,0.001691667,0.023508333,109787313,97.48,222412788
PF00001149,DSK00001127,OFF00001002,B,1/19/2005,"44,000,000",T,0.02125,USD,3.065566191,"43,930,398",1/19/2005,no_in_code,2/16/2005,B,no_hedge_value,no_status,3%,"69,602.22",28,0,28,28,3%,0.02535,0.001584375,0.023765625,42816762.41,97.465,86747160.41
