portfolio_id,desk_id
PF00001207,DSK00001173
PF00001208,DSK00001174
PF00001211,DSK00001176
PF00001212,DSK00001177
PF00001213,DSK00001178
PF00001214,DSK00001179
PF00001215,DSK00001180
PF00001216,DSK00001181
PF00001219,DSK00001184
PF00001221,DSK00001186
PF00001222,DSK00001187
PF00001224,DSK00001188
PF00001226,DSK00001190
PF00001228,DSK00001191
PF00001229,DSK00001192
PF00001231,DSK00001194
PF00001232,DSK00001195
PF00001234,DSK00001197
PF00001235,DSK00001197
PF00001237,DSK00001198
PF00001240,DSK00001200
PF00001242,DSK00001202
PF00001246,DSK00001205
PF00001247,DSK00001206
PF00001248,DSK00001207
PF00001249,DSK00001208
PF00001250,DSK00001209
PF00001251,DSK00001210
PF00001252,DSK00001211
PF00001254,DSK00001213
PF00001256,DSK00001215
PF00001257,DSK00001214
PF00001259,DSK00001216
PF00001261,DSK00001217
PF00001263,DSK00001218
PF00001266,DSK00001221
PF00001267,DSK00001222
PF00001268,DSK00001223
PF00001269,DSK00001223
PF00001271,DSK00001225
PF00001272,DSK00001226
PF00001273,DSK00001227
PF00001275,DSK00001229
PF00001276,DSK00001230
PF00001278,DSK00001233
PF00001279,DSK00001232
PF00001280,DSK00001234
PF00001281,DSK00001235
PF00001284,DSK00001237
PF00001286,DSK00001239
PF00001287,DSK00001240
PF00001289,DSK00001242
PF00001291,DSK00001243
PF00001292,DSK00001244
PF00001293,DSK00001245
PF00001295,DSK00001247
PF00001297,DSK00001249
PF00001298,DSK00001250
PF00001299,DSK00001251
PF00001300,DSK00001252
PF00001301,DSK00001253
PF00001302,DSK00001254
PF00001304,DSK00001256
PF00001307,DSK00001259
PF00001308,DSK00001260
PF00001311,DSK00001263
PF00001314,DSK00001266
PF00001315,DSK00001266
PF00001317,DSK00001268
PF00001318,DSK00001269
PF00001320,DSK00001271
PF00001321,DSK00001272
PF00001322,DSK00001273
PF00001323,DSK00001274
PF00001326,DSK00001277
PF00001327,DSK00001278
PF00001328,DSK00001279
PF00001329,DSK00001280
PF00001330,DSK00001281
PF00001332,DSK00001283
PF00001336,DSK00001286
PF00001337,DSK00001287
PF00001338,DSK00001288
PF00001339,DSK00001289
PF00001341,DSK00001292
PF00001342,DSK00001291
PF00001343,DSK00001293
PF00001344,DSK00001294
PF00001346,DSK00001296
PF00001347,DSK00001297
PF00001349,DSK00001298
PF00001350,DSK00001299
PF00001351,DSK00001299
PF00001353,DSK00001301
PF00001357,DSK00001305
PF00001358,DSK00001306
PF00001359,DSK00001306
PF00001360,DSK00001307
PF00001361,DSK00001308
PF00001362,DSK00001309
PF00001363,DSK00001310
PF00001364,DSK00001311
PF00001365,DSK00001312
PF00001366,DSK00001313
PF00001367,DSK00001314
PF00001369,DSK00001316
PF00001371,DSK00001317
PF00001373,DSK00001320
PF00001374,DSK00001321
PF00001376,DSK00001322
PF00001377,DSK00001323
PF00001378,DSK00001324
PF00001379,DSK00001325
PF00001380,DSK00001326
PF00001381,DSK00001328
PF00001383,DSK00001327
PF00001385,DSK00001330
PF00001386,DSK00001331
PF00001387,DSK00001332
PF00001390,DSK00001334
PF00001392,DSK00001336
PF00001393,DSK00001336
PF00001394,DSK00001337
PF00001395,DSK00001338
PF00001396,DSK00001339
PF00001397,DSK00001340
PF00001398,DSK00001341
PF00001399,DSK00001342
PF00001400,DSK00001343
PF00001401,DSK00001344
PF00001402,DSK00001345
PF00001403,DSK00001346
PF00001404,DSK00001347
PF00001405,DSK00001348
PF00001406,DSK00001349
PF00001407,DSK00001351
PF00001408,DSK00001352
PF00001409,DSK00001353
PF00001410,DSK00001354
PF00001411,DSK00001355
PF00001416,DSK00001359
PF00001414,DSK00001357
PF00001415,DSK00001358
PF00001417,DSK00001359
PF00001418,DSK00001360
PF00001420,DSK00001362
PF00001421,DSK00001363
PF00001422,DSK00001364
PF00001423,DSK00001365
PF00001425,DSK00001367
PF00001426,DSK00001368
PF00001429,DSK00001371
PF00001431,DSK00001373
PF00001434,DSK00001376
PF00001435,DSK00001377
PF00001436,DSK00001378
PF00001437,DSK00001379
PF00001439,DSK00001381
PF00001442,DSK00001384
PF00001443,DSK00001386
PF00001444,DSK00001385
PF00001445,DSK00001387
PF00001447,DSK00001388
PF00001448,DSK00001389
PF00001449,DSK00001390
PF00001451,DSK00001392
PF00001452,DSK00001393
PF00001454,DSK00001395
PF00001455,DSK00001396
PF00001460,DSK00001400
PF00001459,DSK00001399
PF00001461,DSK00001401
PF00001462,DSK00001402
PF00001465,DSK00001405
PF00001466,DSK00001406
PF00001467,DSK00001407
PF00001468,DSK00001408
PF00001469,DSK00001409
PF00001470,DSK00001410
PF00001472,DSK00001412
PF00001475,DSK00001415
PF00001476,DSK00001416
PF00001477,DSK00001417
PF00001478,DSK00001418
PF00001479,DSK00001419
PF00001481,DSK00001421
PF00001482,DSK00001422
PF00001483,DSK00001423
PF00001484,DSK00001424
PF00001485,DSK00001425
PF00001487,DSK00001427
PF00001488,DSK00001428
PF00001489,DSK00001429
PF00001490,DSK00001430
PF00001491,DSK00001431
PF00001492,DSK00001432
PF00001495,DSK00001435
PF00001498,DSK00001437
PF00001499,DSK00001439
PF00001501,DSK00001441
PF00001502,DSK00001442
PF00001504,DSK00001444
PF00001506,DSK00001445
PF00001507,DSK00001446
PF00001509,DSK00001447
PF00001513,DSK00001451
PF00001514,DSK00001452
PF00001517,DSK00001455
PF00001518,DSK00001456
PF00001520,DSK00001458
PF00001521,DSK00001459
PF00001523,DSK00001463
PF00001524,DSK00001462
PF00001525,DSK00001464
PF00001526,DSK00001465
PF00001527,DSK00001466
PF00001528,DSK00001467
PF00001530,DSK00001469
PF00001531,DSK00001470
PF00001534,DSK00001472
PF00001538,DSK00001476
PF00001539,DSK00001477
PF00001543,DSK00001481
PF00001544,DSK00001482
PF00001545,DSK00001483
PF00001546,DSK00001484
PF00001548,DSK00001486
PF00001549,DSK00001487
PF00001554,DSK00001492
PF00001552,DSK00001491
PF00001555,DSK00001493
PF00001557,DSK00001495
PF00001558,DSK00001496
PF00001559,DSK00001497
PF00001560,DSK00001498
PF00001562,DSK00001500
PF00001563,DSK00001501
PF00001566,DSK00001504
PF00001567,DSK00001505
PF00001568,DSK00001506
PF00001570,DSK00001508
PF00001571,DSK00001510
PF00001573,DSK00001511
PF00001574,DSK00001512
PF00001576,DSK00001514
PF00001577,DSK00001516
PF00001580,DSK00001519
PF00001581,DSK00001520
PF00001582,DSK00001521
PF00001584,DSK00001523
PF00001585,DSK00001524
PF00001586,DSK00001525
PF00001587,DSK00001526
PF00001588,DSK00001527
PF00001591,DSK00001530
PF00001594,DSK00001533
PF00001595,DSK00001534
PF00001596,DSK00001535
PF00001598,DSK00001537
PF00001600,DSK00001539
PF00001601,DSK00001540
PF00001602,DSK00001541
PF00001603,DSK00001542
PF00001604,DSK00001543
PF00001605,DSK00001544
PF00001606,DSK00001545
PF00001607,DSK00001546
PF00001608,DSK00001547
PF00001609,DSK00001548
PF00001610,DSK00001549
PF00001611,DSK00001550
PF00001612,DSK00001551
PF00001613,DSK00001552
PF00001615,DSK00001554
PF00001616,DSK00001555
PF00001617,DSK00001556
PF00001620,DSK00001559
PF00001621,DSK00001560
PF00001622,DSK00001561
PF00001623,DSK00001562
PF00001624,DSK00001563
PF00001627,DSK00001564
PF00001630,DSK00001568
PF00001634,DSK00001572
PF00001636,DSK00001574
PF00001637,DSK00001575
PF00001638,DSK00001576
PF00001639,DSK00001577
PF00001640,DSK00001578
PF00001641,DSK00001579
PF00001643,DSK00001581
PF00001644,DSK00001582
PF00001645,DSK00001583
PF00001646,DSK00001584
PF00001647,DSK00001585
PF00001649,DSK00001587
PF00001650,DSK00001588
PF00001651,DSK00001589
PF00001652,DSK00001590
PF00001653,DSK00001591
PF00001657,DSK00001595
PF00001658,DSK00001596
PF00001659,DSK00001597
PF00001662,DSK00001600
PF00001663,DSK00001601
PF00001664,DSK00001602
PF00001666,DSK00001604
PF00001668,DSK00001606
PF00001669,DSK00001607
PF00001670,DSK00001608
PF00001671,DSK00001609
PF00001672,DSK00001610
PF00001673,DSK00001611
PF00001674,DSK00001612
PF00001675,DSK00001613
PF00001676,DSK00001614
PF00001678,DSK00001616
PF00001679,DSK00001617
PF00001680,DSK00001618
PF00001681,DSK00001619
PF00001683,DSK00001621
PF00001684,DSK00001622
PF00001685,DSK00001623
PF00001686,DSK00001624
PF00001687,DSK00001625
PF00001688,DSK00001626
PF00001689,DSK00001627
PF00001691,DSK00001629
PF00001692,DSK00001630
PF00001694,DSK00001632
PF00001695,DSK00001633
PF00001696,DSK00001634
PF00001697,DSK00001635
PF00001698,DSK00001636
PF00001699,DSK00001637
PF00001700,DSK00001638
PF00001701,DSK00001639
PF00001704,DSK00001641
PF00001703,DSK00001640
PF00001705,DSK00001642
PF00001706,DSK00001643
PF00001707,DSK00001644
PF00001708,DSK00001645
PF00001709,DSK00001646
PF00001710,DSK00001647
PF00001715,DSK00001652
PF00001716,DSK00001653
PF00001717,DSK00001654
PF00001718,DSK00001655
PF00001720,DSK00001657
PF00001721,DSK00001658
PF00001722,DSK00001659
PF00001723,DSK00001660
PF00001727,DSK00001663
PF00001726,DSK00001662
PF00001730,DSK00001666
PF00001733,DSK00001669
PF00001734,DSK00001670
PF00001735,DSK00001671
PF00001736,DSK00001672
PF00001737,DSK00001673
PF00001738,DSK00001674
PF00001739,DSK00001675
PF00001740,DSK00001676
PF00001741,DSK00001677
PF00001742,DSK00001678
PF00001743,DSK00001679
PF00001744,DSK00001680
PF00001746,DSK00001682
PF00001747,DSK00001683
PF00001748,DSK00001684
PF00001750,DSK00001686
PF00001752,DSK00001688
PF00001753,DSK00001689
PF00001755,DSK00001691
PF00001757,DSK00001693
PF00001758,DSK00001694
PF00001759,DSK00001695
PF00001760,DSK00001696
PF00001761,DSK00001697
PF00001762,DSK00001698
PF00001763,DSK00001699
PF00001764,DSK00001700
PF00001766,DSK00001702
PF00001769,DSK00001705
PF00001771,DSK00001707
PF00001773,DSK00001709
PF00001775,DSK00001711
PF00001777,DSK00001713
PF00001778,DSK00001714
PF00001780,DSK00001716
PF00001781,DSK00001717
PF00001782,DSK00001718
PF00001783,DSK00001719
PF00001784,DSK00001720
PF00001785,DSK00001721
PF00001791,DSK00001727
PF00001790,DSK00001726
PF00001794,DSK00001730
PF00001795,DSK00001731
PF00001796,DSK00001732
PF00001798,DSK00001734
PF00001799,DSK00001735
PF00001800,DSK00001736
PF00001802,DSK00001738
PF00001803,DSK00001739
PF00001825,DSK00001760
PF00001806,DSK00001742
PF00001810,DSK00001746
PF00001811,DSK00001747
PF00001812,DSK00001748
PF00001814,DSK00001750
PF00001815,DSK00001751
PF00001816,DSK00001752
PF00001817,DSK00001753
PF00001818,DSK00001754
PF00001821,DSK00001757
PF00001822,DSK00001758
PF00001823,DSK00001740
PF00001826,DSK00001761
PF00001827,DSK00001762
PF00001828,DSK00001763
PF00001829,DSK00001764
PF00001830,DSK00001765
PF00001831,DSK00001766
PF00001832,DSK00001767
PF00001833,DSK00001768
PF00001835,DSK00001770
PF00001836,DSK00001771
PF00001838,DSK00001773
PF00001839,DSK00001774
PF00001840,DSK00001775
PF00001843,DSK00001777
PF00001845,DSK00001779
PF00001850,DSK00001784
PF00001851,DSK00001785
PF00001852,DSK00001786
PF00001853,DSK00001787
PF00001855,DSK00001789
PF00001858,DSK00001792
PF00001859,DSK00001793
PF00001860,DSK00001794
PF00001861,DSK00001795
PF00001862,DSK00001797
PF00001864,DSK00001799
PF00001866,DSK00001801
PF00001870,DSK00001805
PF00001871,DSK00001806
PF00001872,DSK00001807
PF00001873,DSK00001808
PF00001874,DSK00001809
PF00001876,DSK00001811
PF00001877,DSK00001812
PF00001881,DSK00001816
PF00001882,DSK00001817
PF00001883,DSK00001818
PF00001884,DSK00001819
PF00001885,DSK00001820
PF00001888,DSK00001823
PF00001889,DSK00001824
PF00001890,DSK00001825
PF00001891,DSK00001826
PF00001892,DSK00001827
PF00001893,DSK00001828
PF00001894,DSK00001829
PF00001896,DSK00001831
PF00001897,DSK00001832
PF00001898,DSK00001833
PF00001899,DSK00001835
PF00001901,DSK00001836
PF00001902,DSK00001837
PF00001903,DSK00001838
PF00001905,DSK00001840
PF00001906,DSK00001841
PF00001909,DSK00001844
PF00001910,DSK00001845
PF00001911,DSK00001846
PF00001913,DSK00001848
PF00001914,DSK00001849
PF00001915,DSK00001850
PF00001916,DSK00001851
PF00001917,DSK00001852
PF00001918,DSK00001853
PF00001919,DSK00001854
PF00001926,DSK00001861
PF00001927,DSK00001862
PF00001928,DSK00001863
PF00001930,DSK00001865
PF00001931,DSK00001866
PF00001932,DSK00001867
PF00001933,DSK00001868
PF00001934,DSK00001869
PF00001938,DSK00001873
PF00001940,DSK00001875
PF00001941,DSK00001876
PF00001943,DSK00001878
PF00001944,DSK00001877
PF00001946,DSK00001879
PF00001947,DSK00001880
PF00001949,DSK00001882
PF00001954,DSK00001887
PF00001955,DSK00001885
PF00001956,DSK00001888
PF00001957,DSK00001889
PF00001958,DSK00001890
PF00001959,DSK00001891
PF00001961,DSK00001893
PF00001962,DSK00001894
PF00001964,DSK00001896
PF00001965,DSK00001897
PF00001967,DSK00001899
PF00001968,DSK00001900
PF00001969,DSK00001901
PF00001971,DSK00001903
PF00001972,DSK00001904
PF00001973,DSK00001905
PF00001974,DSK00001906
PF00001976,DSK00001908
PF00001977,DSK00001909
PF00001979,DSK00001911
PF00001980,DSK00001912
PF00001981,DSK00001913
PF00001982,DSK00001914
PF00001983,DSK00001915
PF00001984,DSK00001916
PF00001986,DSK00001918
PF00001989,DSK00001921
PF00001990,DSK00001922
PF00001991,DSK00001923
PF00001992,DSK00001924
PF00001993,DSK00001925
PF00001994,DSK00001926
PF00001998,DSK00001930
PF00002002,DSK00001934
PF00002003,DSK00001935
PF00002004,DSK00001936
PF00002005,DSK00001937
PF00002006,DSK00001938
PF00002007,DSK00001939
PF00002009,DSK00001941
PF00002013,DSK00001945
PF00002014,DSK00001946
PF00002017,DSK00001949
PF00002018,DSK00001950
PF00002019,DSK00001951
PF00002020,DSK00001952
PF00002021,DSK00001953
PF00002023,DSK00001955
PF00002024,DSK00001957
PF00002028,DSK00001961
PF00002027,DSK00001960
PF00002029,DSK00001964
PF00002030,DSK00001963
PF00002033,DSK00001966
PF00002034,DSK00001967
PF00002035,DSK00001968
PF00002037,DSK00001970
PF00002039,DSK00001972
PF00002040,DSK00001973
PF00002041,DSK00001974
PF00002043,DSK00001976
PF00002046,DSK00001978
PF00002047,DSK00001979
PF00002048,DSK00001980
PF00002052,DSK00001984
PF00002053,DSK00001985
PF00002055,DSK00001986
PF00002056,DSK00001987
PF00002057,DSK00001988
PF00002059,DSK00001990
PF00002060,DSK00001991
PF00002061,DSK00001992
PF00002062,DSK00001993
PF00002063,DSK00001994
PF00002064,DSK00001996
PF00002065,DSK00001995
PF00002066,DSK00001995
PF00002067,DSK00001997
PF00002068,DSK00001998
PF00002070,DSK00002000
PF00002071,DSK00002001
PF00002072,DSK00002002
PF00002074,DSK00002004
PF00002075,DSK00002005
PF00002078,DSK00002008
PF00002079,DSK00002009
PF00002080,DSK00002010
PF00002081,DSK00002011
PF00002082,DSK00002012
PF00002083,DSK00002013
PF00002086,DSK00002016
PF00002088,DSK00002017
PF00002090,DSK00002019
PF00002091,DSK00002020
PF00002092,DSK00002021
PF00002093,DSK00002022
PF00002094,DSK00002023
PF00002095,DSK00002024
PF00002096,DSK00002025
PF00002097,DSK00002026
PF00002098,DSK00002027
PF00002100,DSK00002029
PF00002101,DSK00002030
PF00002102,DSK00002031
PF00002104,DSK00002033
PF00002107,DSK00002035
PF00002108,DSK00002036
PF00002110,DSK00002040
PF00002111,DSK00002041
PF00002112,DSK00002042
PF00002114,DSK00002044
PF00002115,DSK00002045
PF00002116,DSK00002047
PF00002117,DSK00002046
PF00002118,DSK00002048
PF00002119,DSK00002049
PF00002120,DSK00002050
PF00002122,DSK00002052
PF00002123,DSK00002053
PF00002124,DSK00002054
PF00002125,DSK00002054
PF00002126,DSK00002055
PF00002127,DSK00002056
PF00002130,DSK00002059
PF00002132,DSK00002061
PF00002133,DSK00002062
PF00002134,DSK00002063
PF00002135,DSK00002064
PF00002136,DSK00002065
PF00002137,DSK00002066
PF00002138,DSK00002067
PF00002139,DSK00002067
PF00002142,DSK00002070
PF00002143,DSK00002071
PF00002147,DSK00002075
PF00002150,DSK00002078
PF00002151,DSK00002079
PF00002153,DSK00002081
PF00002155,DSK00002083
PF00002156,DSK00002084
PF00002157,DSK00002085
PF00002160,DSK00002088
PF00002161,DSK00002089
PF00002162,DSK00002090
PF00002166,DSK00002095
PF00002167,DSK00002096
PF00002168,DSK00002097
PF00002171,DSK00002100
PF00002172,DSK00002101
PF00002173,DSK00002102
PF00002174,DSK00002103
PF00002176,DSK00002104
PF00002177,DSK00002104
PF00002178,DSK00002106
PF00002179,DSK00002107
PF00002180,DSK00002108
PF00002181,DSK00002109
PF00002182,DSK00002110
PF00002183,DSK00002111
PF00002184,DSK00002112
PF00002186,DSK00002116
PF00002187,DSK00002114
PF00002188,DSK00002117
PF00002189,DSK00002118
PF00002191,DSK00002120
PF00002195,DSK00002124
PF00002198,DSK00002126
PF00002201,DSK00002129
PF00002202,DSK00002130
PF00002203,DSK00002131
PF00002204,DSK00002132
PF00002205,DSK00002133
PF00002207,DSK00002135
PF00002209,DSK00002137
PF00002210,DSK00002138
PF00002212,DSK00002140
PF00002215,DSK00002142
PF00002218,DSK00002145
PF00002219,DSK00002145
PF00002220,DSK00002146
PF00002221,DSK00002147
PF00002222,DSK00002148
PF00002226,DSK00002151
PF00002227,DSK00002152
PF00002228,DSK00002153
PF00002229,DSK00002154
PF00002231,DSK00002156
PF00002233,DSK00002158
PF00002234,DSK00002160
PF00002235,DSK00002159
PF00002236,DSK00002159
PF00002237,DSK00002161
PF00002241,DSK00002165
PF00002242,DSK00002166
PF00002243,DSK00002167
PF00002244,DSK00002169
PF00002245,DSK00002171
PF00002246,DSK00002170
PF00002247,DSK00002170
PF00002248,DSK00002172
PF00002249,DSK00002173
PF00002250,DSK00002174
PF00002254,DSK00002178
PF00002256,DSK00002180
PF00002257,DSK00002181
PF00002258,DSK00002182
PF00002259,DSK00002183
PF00002260,DSK00002184
PF00002261,DSK00002185
PF00002262,DSK00002186
PF00002263,DSK00002187
PF00002264,DSK00002188
PF00002266,DSK00002189
PF00002270,DSK00002193
PF00002272,DSK00002195
PF00002274,DSK00002197
PF00002275,DSK00002198
PF00002276,DSK00002199
PF00002280,DSK00002202
PF00002279,DSK00002200
PF00002281,DSK00002203
PF00002283,DSK00002204
PF00002284,DSK00002205
PF00002288,DSK00002209
PF00002289,DSK00002210
PF00002293,DSK00002213
PF00002294,DSK00002214
PF00002295,DSK00002215
PF00002296,DSK00002217
PF00002297,DSK00002216
PF00002299,DSK00002219
PF00002300,DSK00002220
PF00002301,DSK00002221
PF00002303,DSK00002223
PF00002304,DSK00002223
PF00002308,DSK00002225
PF00002309,DSK00002226
PF00002307,DSK00002224
PF00002310,DSK00002227
PF00002311,DSK00002228
PF00002312,DSK00002229
PF00002313,DSK00002229
PF00002314,DSK00002230
PF00002315,DSK00002231
PF00002318,DSK00002234
PF00002319,DSK00002235
PF00002321,DSK00002236
PF00002322,DSK00002237
PF00002323,DSK00002238
PF00002325,DSK00002240
PF00002334,DSK00002245
PF00002331,DSK00002243
PF00002336,DSK00002246
PF00002339,DSK00002249
PF00002338,DSK00002248
PF00002340,DSK00002250
PF00002341,DSK00002251
PF00002343,DSK00002253
PF00002346,DSK00002256
PF00002347,DSK00002257
PF00002348,DSK00002258
PF00002351,DSK00002261
PF00002353,DSK00002263
PF00002354,DSK00002263
PF00002356,DSK00002265
PF00002357,DSK00002266
PF00002358,DSK00002267
PF00002359,DSK00002268
PF00002360,DSK00002269
PF00002362,DSK00002271
PF00002363,DSK00002272
PF00002364,DSK00002273
PF00002365,DSK00002274
PF00002366,DSK00002275
PF00002368,DSK00002278
PF00002372,DSK00002277
PF00002373,DSK00002281
PF00002379,DSK00002284
PF00002380,DSK00002285
PF00002377,DSK00002282
PF00002382,DSK00002286
PF00002386,DSK00002290
PF00002387,DSK00002291
PF00002388,DSK00002292
PF00002389,DSK00002293
PF00002390,DSK00002294
PF00002392,DSK00002296
PF00002393,DSK00002296
PF00002394,DSK00002297
PF00002395,DSK00002298
PF00002396,DSK00002299
PF00002397,DSK00002300
PF00002399,DSK00002302
PF00002405,DSK00002309
PF00002407,DSK00002311
PF00002409,DSK00002312
PF00002410,DSK00002313
PF00002415,DSK00002317
PF00002414,DSK00002316
PF00002416,DSK00002318
PF00002418,DSK00002319
PF00002419,DSK00002320
PF00002420,DSK00002321
PF00002421,DSK00002322
PF00002422,DSK00002323
PF00002426,DSK00002324
PF00002427,DSK00002325
PF00002425,DSK00002323
PF00002428,DSK00002326
PF00002432,DSK00002330
PF00002433,DSK00002331
PF00002434,DSK00002331
PF00002436,DSK00002333
PF00002437,DSK00002334
PF00002438,DSK00002336
PF00002442,DSK00002340
PF00002443,DSK00002341
PF00002444,DSK00002342
PF00002445,DSK00002343
PF00002446,DSK00002342
PF00002448,DSK00002345
PF00002449,DSK00002346
PF00002452,DSK00002348
PF00002454,DSK00002350
PF00002456,DSK00002353
PF00002458,DSK00002354
PF00002459,DSK00002355
PF00002460,DSK00002355
PF00002473,DSK00002363
PF00002462,DSK00002357
PF00002463,DSK00002357
PF00002464,DSK00002358
PF00002465,DSK00002359
PF00002466,DSK00002359
PF00002471,DSK00002361
PF00002472,DSK00002363
PF00002470,DSK00002360
PF00002477,DSK00002365
PF00002478,DSK00002366
PF00002479,DSK00002367
PF00002481,DSK00002369
PF00002482,DSK00002369
PF00002483,DSK00002369
PF00002484,DSK00002369
PF00002491,DSK00002374
PF00002486,DSK00002371
PF00002487,DSK00002372
PF00002490,DSK00002370
PF00002493,DSK00002375
PF00002494,DSK00002375
PF00002495,DSK00002376
PF00002497,DSK00002378
PF00002498,DSK00002379
PF00002499,DSK00002380
PF00002500,DSK00002382
PF00002501,DSK00002382
PF00002502,DSK00002381
PF00002503,DSK00002383
PF00002504,DSK00002384
PF00002505,DSK00002385
PF00002507,DSK00002386
PF00002508,DSK00002387
PF00002509,DSK00002388
PF00002510,DSK00002389
PF00002511,DSK00002391
PF00002512,DSK00002390
PF00002513,DSK00002392
PF00002514,DSK00002393
PF00002515,DSK00002394
PF00002517,DSK00002396
PF00002519,DSK00002398
PF00002520,DSK00002399
PF00002523,DSK00002402
PF00002533,DSK00002409
PF00002527,DSK00002406
PF00002528,DSK00002407
PF00002529,DSK00002407
PF00002531,DSK00002405
PF00002534,DSK00002410
PF00002535,DSK00002411
PF00002536,DSK00002412
PF00002537,DSK00002413
PF00002538,DSK00002414
PF00002539,DSK00002416
PF00002540,DSK00002417
PF00002541,DSK00002418
PF00002545,DSK00002423
PF00002544,DSK00002422
PF00002546,DSK00002424
PF00002549,DSK00002426
PF00002550,DSK00002427
PF00002552,DSK00002430
PF00002554,DSK00002432
PF00002555,DSK00002433
PF00002556,DSK00002434
PF00002557,DSK00002435
PF00002558,DSK00002435
PF00002559,DSK00002436
PF00002561,DSK00002439
PF00002562,DSK00002440
PF00002566,DSK00002443
PF00002568,DSK00002444
PF00002569,DSK00002445
PF00002570,DSK00002446
PF00002573,DSK00002448
PF00002574,DSK00002449
PF00002575,DSK00002450
PF00002576,DSK00002451
PF00002577,DSK00002451
PF00002578,DSK00002451
PF00002579,DSK00002452
PF00002586,DSK00002461
PF00002581,DSK00002454
PF00002584,DSK00002459
PF00002585,DSK00002460
PF00002587,DSK00002462
PF00002588,DSK00002463
PF00002591,DSK00002466
PF00002592,DSK00002467
PF00002596,DSK00002470
PF00002599,DSK00002474
PF00002602,DSK00002477
PF00002603,DSK00002478
PF00002604,DSK00002479
PF00002610,DSK00002484
PF00002609,DSK00002483
PF00002611,DSK00002485
PF00002612,DSK00002486
PF00002615,DSK00002489
PF00002614,DSK00002488
PF00002616,DSK00002490
PF00002617,DSK00002490
PF00002618,DSK00002490
PF00002620,DSK00002492
PF00002621,DSK00002493
PF00002622,DSK00002490
PF00002623,DSK00002494
PF00002624,DSK00002495
PF00002627,DSK00002498
PF00002629,DSK00002499
PF00002633,DSK00002504
PF00002635,DSK00002506
PF00002636,DSK00002507
PF00002638,DSK00002509
