,portfolio_id,desk_id,office_id,pf_category,start_date,sold,country_code,euribor_rate,currency,libor_rate,bought,creation_date,indicator_code,sell_date,type,hedge_value,status,absolute_return,period_of_holding,start-creation,creation-sell
23,PF00001078,DSK00001065,OFF00001001,A,11/8/2004,165286000,T,0.02093,USD,2.803863636,165007128.8,11/8/2004,no_in_code,12/9/2004,A,no_hedge_value,no_status,278871.2147,31,0,31
24,PF00001085,DSK00001071,OFF00001002,B,11/10/2004,63800000,T,0.02093,USD,2.803863636,63695814.88,11/10/2004,no_in_code,12/13/2004,B,no_hedge_value,no_status,104185.1212,33,0,33
25,PF00001086,DSK00001072,OFF00001001,A,11/10/2004,176660000,N,0.02093,GBP,5.001250455,176010545.2,11/10/2004,no_in_code,12/13/2004,C,no_hedge_value,no_status,649454.8008,33,0,33
26,PF00001087,DSK00001073,OFF00001001,A,11/10/2004,128722000,T,0.02093,USD,2.803863636,128504613,11/10/2004,no_in_code,12/14/2004,A,no_hedge_value,no_status,217386.9704,34,0,34
27,PF00001088,DSK00001074,OFF00001001,A,11/12/2004,60632000,T,0.02093,USD,2.803863636,60532894.2,11/12/2004,no_in_code,12/14/2004,A,no_hedge_value,no_status,99105.79956,32,0,32
28,PF00001092,DSK00001078,OFF00001001,A,11/12/2004,99187000,T,0.02093,USD,2.803863636,99008811.64,11/12/2004,no_in_code,11/15/2004,A,no_hedge_value,no_status,178188.3585,3,0,3
29,PF00001095,DSK00001080,OFF00001002,B,11/15/2004,33000000,T,0.02093,USD,2.803863636,32944030.84,11/15/2004,no_in_code,12/16/2004,B,no_hedge_value,no_status,55969.16305,31,0,31
30,PF00001099,DSK00001084,OFF00001001,A,9/11/2004,419133000,T,0.02093,USD,2.803863636,418407759.9,11/22/2004,no_in_code,10/13/2004,A,no_hedge_value,no_status,725240.1171,-40,72,-40
31,PF00001100,DSK00001085,OFF00001001,A,11/22/2004,423104000,T,0.02093,USD,2.803863636,422295919.2,11/22/2004,no_in_code,11/15/2004,A,no_hedge_value,no_status,808080.837,-7,0,-7
32,PF00001104,DSK00001089,OFF00001001,A,11/26/2004,46178000,T,0.02093,USD,2.803863636,46093655.01,11/26/2004,no_in_code,12/31/2004,A,no_hedge_value,no_status,84344.98678,35,0,35
33,PF00001105,DSK00001090,OFF00001001,A,12/6/2004,56562000,T,0.02169,USD,2.752962174,56448162.87,12/6/2004,no_in_code,1/10/2005,A,no_hedge_value,no_status,113837.1285,35,0,35
34,PF00001107,DSK00001091,OFF00001001,A,12/7/2004,114455000,T,0.02169,USD,2.752962174,114223079.6,12/7/2004,no_in_code,1/11/2005,A,no_hedge_value,no_status,231920.4444,35,0,35
35,PF00001108,DSK00001092,OFF00001001,A,12/9/2004,176704000,N,0.02169,GBP,4.508315652,176008165,12/9/2004,no_in_code,1/12/2005,C,no_hedge_value,no_status,695835.0194,34,0,34
36,PF00001112,DSK00001096,OFF00001001,A,12/10/2004,129030000,T,0.02169,USD,2.752962174,128783586.9,12/10/2004,no_in_code,1/14/2005,A,no_hedge_value,no_status,246413.0843,35,0,35
37,PF00001119,DSK00001102,OFF00001002,B,12/14/2004,27500000,T,0.02169,USD,2.752962174,27445596.73,12/14/2004,no_in_code,1/17/2005,B,no_hedge_value,no_status,54403.27174,34,0,34
38,PF00001123,DSK00001105,OFF00001002,B,12/14/2004,44000000,T,0.02169,USD,2.752962174,43902667.79,12/14/2004,no_in_code,1/20/2005,B,no_hedge_value,no_status,97332.21448,37,0,37
39,PF00001126,DSK00001108,OFF00001001,A,12/28/2004,42185000,T,0.02169,USD,2.752962174,42110625.03,12/28/2004,no_in_code,1/28/2005,A,no_hedge_value,no_status,74374.96712,31,0,31
40,PF00001132,DSK00001113,OFF00001001,A,1/11/2005,782331000,T,0.02125,USD,3.06556619,781000370.6,1/11/2005,no_in_code,2/11/2005,A,no_hedge_value,no_status,1330629.381,31,0,31
41,PF00001135,DSK00001116,OFF00001001,A,1/11/2005,79827000,T,0.02125,USD,3.06556619,79695900.24,1/11/2005,no_in_code,2/10/2005,A,no_hedge_value,no_status,131099.7559,30,0,30
42,PF00001145,DSK00001125,OFF00001002,B,1/14/2005,18700000,T,0.02125,USD,3.06556619,18668381.72,1/14/2005,no_in_code,2/16/2005,B,no_hedge_value,no_status,31618.27513,33,0,33
43,PF00001148,DSK00001127,OFF00001001,A,1/19/2005,302401000,T,0.02125,USD,3.06556619,301922641.3,1/19/2005,no_in_code,2/16/2005,A,no_hedge_value,no_status,478358.6848,28,0,28
44,PF00001153,DSK00001131,OFF00001002,B,2/4/2005,110000000,T,0.02106,USD,3.378094,109820541,2/4/2005,no_in_code,3/8/2005,B,no_hedge_value,no_status,179458.9663,32,0,32
45,PF00001155,DSK00001132,OFF00001001,A,2/7/2005,141108000,N,0.02106,GBP,5.0547195,140589244.9,2/7/2005,no_in_code,3/9/2005,C,no_hedge_value,no_status,518755.055,30,0,30
46,PF00001161,DSK00001138,OFF00001001,A,2/11/2005,41877000,T,0.02106,USD,3.378094,41808550.11,2/11/2005,no_in_code,3/15/2005,A,no_hedge_value,no_status,68449.88732,32,0,32
47,PF00001164,DSK00001142,OFF00001002,B,2/14/2005,88154000,T,0.02106,USD,3.378094,88009737.37,2/14/2005,no_in_code,3/16/2005,B,no_hedge_value,no_status,144262.6278,30,0,30
48,PF00001165,DSK00001143,OFF00001002,B,2/15/2005,44000000,T,0.02106,USD,3.378094,43928079.97,2/15/2005,no_in_code,3/17/2005,B,no_hedge_value,no_status,71920.02871,30,0,30
49,PF00001171,DSK00001146,OFF00001001,A,2/24/2005,6633000,N,0.02106,GBP,5.0547195,6607642.944,2/24/2005,no_in_code,2/18/2005,C,no_hedge_value,no_status,25357.05609,-6,0,-6
50,PF00001178,DSK00001150,OFF00001001,A,2/24/2005,119537000,T,0.02106,USD,3.378094,119341889.3,2/24/2005,no_in_code,3/18/2005,A,no_hedge_value,no_status,195110.7287,22,0,22
51,PF00001179,DSK00001150,OFF00001001,A,2/24/2005,2717000,M,0.02106,CHF,0.964959,2711558.805,2/24/2005,no_in_code,3/18/2005,D,no_hedge_value,no_status,5441.194671,22,0,22
52,PF00001180,DSK00001150,OFF00001001,A,2/24/2005,12155000,N,0.02106,GBP,5.0547195,12110360.88,2/24/2005,no_in_code,3/18/2005,C,no_hedge_value,no_status,44639.12199,22,0,22
53,PF00001194,DSK00001162,OFF00001001,A,3/10/2005,62513000,T,0.02103,USD,3.363967391,62400266.98,3/10/2005,no_in_code,4/14/2005,A,no_hedge_value,no_status,112733.0157,35,0,35
54,PF00001199,DSK00001167,OFF00001001,A,3/15/2005,403282000,T,0.02103,USD,3.363967391,402554913.1,3/15/2005,no_in_code,4/15/2005,A,no_hedge_value,no_status,727086.8567,31,0,31
55,PF00001198,DSK00001166,OFF00001001,A,3/14/2005,3245000,T,0.02103,USD,3.363967391,3239145.335,3/14/2005,no_in_code,4/15/2005,A,no_hedge_value,no_status,5854.665212,32,0,32
56,PF00001203,DSK00001170,OFF00001001,A,3/16/2005,64526000,T,0.02103,USD,3.363967391,64401849.33,3/16/2005,no_in_code,4/20/2005,A,no_hedge_value,no_status,124150.6651,35,0,35
57,PF00001204,DSK00001170,OFF00001002,B,3/16/2005,33000000,T,0.02103,USD,3.363967391,32936506.65,3/16/2005,no_in_code,4/20/2005,B,no_hedge_value,no_status,63493.35069,35,0,35
58,PF00001209,DSK00001175,OFF00001001,A,4/5/2005,7469000,N,0.02104,GBP,5.048423333,7455131.413,4/5/2005,no_in_code,4/20/2005,C,no_hedge_value,no_status,13868.58693,15,0,15
59,PF00001210,DSK00001176,OFF00001002,B,4/6/2005,110000000,T,0.02104,USD,3.72553619,109794269.9,4/6/2005,no_in_code,5/10/2005,B,no_hedge_value,no_status,205730.0631,34,0,34
60,PF00001218,DSK00001183,OFF00001001,A,4/11/2005,134860000,T,0.02104,USD,3.72553619,134623959.3,4/11/2005,no_in_code,5/13/2005,A,no_hedge_value,no_status,236040.6754,32,0,32
61,PF00001220,DSK00001185,OFF00001001,A,4/13/2005,396033000,T,0.02104,USD,3.72553619,395247226.6,4/13/2005,no_in_code,5/19/2005,A,no_hedge_value,no_status,785773.4446,36,0,36
62,PF00001223,DSK00001188,OFF00001001,A,4/13/2005,219483000,T,0.02104,USD,3.72553619,219073089.9,4/13/2005,no_in_code,5/17/2005,A,no_hedge_value,no_status,409910.0927,34,0,34
63,PF00001225,DSK00001189,OFF00001002,B,4/14/2005,88176000,T,0.02104,USD,3.72553619,88010930.61,4/14/2005,no_in_code,5/20/2005,B,no_hedge_value,no_status,165069.3899,36,0,36
64,PF00001227,DSK00001191,OFF00001001,A,4/18/2005,64504000,T,0.02104,USD,3.72553619,64394857.87,4/18/2005,no_in_code,5/19/2005,A,no_hedge_value,no_status,109142.1291,31,0,31
65,PF00001230,DSK00001193,OFF00001001,A,4/18/2005,3564000,N,0.02104,GBP,5.048423333,3555024.78,4/18/2005,no_in_code,5/9/2005,C,no_hedge_value,no_status,8975.2201,21,0,21
66,PF00001233,DSK00001196,OFF00001001,A,4/27/2005,122067000,T,0.02104,USD,3.72553619,121838809.4,4/27/2005,no_in_code,5/31/2005,A,no_hedge_value,no_status,228190.5524,34,0,34
67,PF00001236,DSK00001198,OFF00001001,A,5/2/2005,130174000,T,0.02105,USD,3.411694091,129924372,5/2/2005,no_in_code,3/30/2005,A,no_hedge_value,no_status,249628.0267,-33,0,-33
68,PF00001238,DSK00001199,OFF00001001,A,5/2/2005,126082000,T,0.02105,USD,3.411694091,125860904.3,5/2/2005,no_in_code,4/29/2005,A,no_hedge_value,no_status,221095.6553,-3,0,-3
69,PF00001239,DSK00001199,OFF00001001,A,5/2/2005,16005000,N,0.02105,GBP,4.417018636,15941583.07,5/2/2005,no_in_code,4/29/2005,C,no_hedge_value,no_status,63416.92773,-3,0,-3
70,PF00001241,DSK00001201,OFF00001001,A,5/4/2005,9020000,N,0.02105,GBP,4.417018636,8986496.372,5/4/2005,no_in_code,6/6/2005,C,no_hedge_value,no_status,33503.62811,33,0,33
71,PF00001243,DSK00001202,OFF00001002,B,5/6/2005,110000000,T,0.02105,USD,3.411694091,109813612.7,5/6/2005,no_in_code,6/8/2005,B,no_hedge_value,no_status,186387.255,33,0,33
72,PF00001244,DSK00001204,OFF00001001,A,5/10/2005,20526000,T,0.02105,USD,3.411694091,20491269.57,5/10/2005,no_in_code,6/9/2005,A,no_hedge_value,no_status,34730.42512,30,0,30
73,PF00001245,DSK00001203,OFF00001001,A,5/10/2005,176660000,N,0.02105,GBP,4.417018636,176005164.3,5/10/2005,no_in_code,6/9/2005,C,no_hedge_value,no_status,654835.6526,30,0,30
74,PF00001253,DSK00001212,OFF00001001,A,5/12/2005,199045000,T,0.02105,USD,3.411694091,198696453.3,5/12/2005,no_in_code,6/16/2005,A,no_hedge_value,no_status,348546.6952,35,0,35
75,PF00001255,DSK00001214,OFF00001002,B,5/17/2005,26400000,T,0.02105,USD,3.411694091,26350694.92,5/17/2005,no_in_code,6/20/2005,B,no_hedge_value,no_status,49305.07805,34,0,34
76,PF00001258,DSK00001214,OFF00001001,A,5/17/2005,32747000,T,0.02105,USD,3.411694091,32685841.16,5/17/2005,no_in_code,6/20/2005,A,no_hedge_value,no_status,61158.84057,34,0,34
77,PF00001260,DSK00001217,OFF00001001,A,5/24/2005,150535000,T,0.02105,USD,3.411694091,150288710.2,5/24/2005,no_in_code,5/27/2005,A,no_hedge_value,no_status,246289.7985,3,0,3
78,PF00001262,DSK00001218,OFF00001001,A,5/25/2005,149457000,T,0.02105,USD,3.411694091,149168619.8,5/25/2005,no_in_code,6/29/2005,A,no_hedge_value,no_status,288380.2342,35,0,35
79,PF00001264,DSK00001219,OFF00001001,A,5/26/2005,42185000,T,0.02105,USD,3.411694091,42110954.9,5/26/2005,no_in_code,6/29/2005,A,no_hedge_value,no_status,74045.09571,34,0,34
80,PF00001265,DSK00001220,OFF00001001,A,5/27/2005,86911000,T,0.02105,USD,3.411694091,86758377.55,5/27/2005,no_in_code,6/30/2005,A,no_hedge_value,no_status,152622.4458,34,0,34
81,PF00001270,DSK00001224,OFF00001001,A,6/7/2005,176748000,N,0.02104,GBP,4.723694545,176002712.9,6/7/2005,no_in_code,7/11/2005,C,no_hedge_value,no_status,745287.1043,34,0,34
82,PF00001274,DSK00001228,OFF00001001,A,6/10/2005,62513000,T,0.02104,USD,3.813523636,62399194.27,6/10/2005,no_in_code,7/15/2005,A,no_hedge_value,no_status,113805.7305,35,0,35
83,PF00001277,DSK00001231,OFF00001001,A,6/13/2005,104478000,T,0.02104,USD,3.813523636,104293921.2,6/13/2005,no_in_code,7/15/2005,A,no_hedge_value,no_status,184078.771,32,0,32
84,PF00001282,DSK00001236,OFF00001001,A,6/16/2005,76329000,T,0.02104,USD,3.813523636,76252518.72,6/16/2005,no_in_code,7/7/2005,A,no_hedge_value,no_status,76481.27628,21,0,21
85,PF00001283,DSK00001236,OFF00001002,B,6/16/2005,33000000,T,0.02104,USD,3.813523636,32966934.17,6/16/2005,no_in_code,7/7/2005,B,no_hedge_value,no_status,33065.83497,21,0,21
86,PF00001285,DSK00001238,OFF00001001,A,6/27/2005,294789000,T,0.02104,USD,3.813523636,294269369.3,6/27/2005,no_in_code,7/29/2005,A,no_hedge_value,no_status,519630.6614,32,0,32
87,PF00001288,DSK00001241,OFF00001001,A,7/5/2005,253231000,T,0.02104,USD,4.05121,253008668.6,7/5/2005,no_in_code,7/22/2005,A,no_hedge_value,no_status,222331.3676,17,0,17
88,PF00001290,DSK00001243,OFF00001002,B,7/6/2005,110000000,T,0.02104,USD,4.05121,109800593,7/6/2005,no_in_code,8/8/2005,B,no_hedge_value,no_status,199407.0269,33,0,33
89,PF00001294,DSK00001246,OFF00001001,A,7/11/2005,78848000,T,0.02104,USD,4.05121,78714524.22,7/11/2005,no_in_code,8/10/2005,A,no_hedge_value,no_status,133475.7814,30,0,30
90,PF00001296,DSK00001248,OFF00001001,A,7/11/2005,462341000,T,0.02104,USD,4.05121,461557966.9,7/11/2005,no_in_code,8/11/2005,A,no_hedge_value,no_status,783033.0909,31,0,31
91,PF00001303,DSK00001255,OFF00001002,B,7/15/2005,88154000,T,0.02104,USD,4.05121,88004416.94,7/15/2005,no_in_code,8/17/2005,B,no_hedge_value,no_status,149583.0631,33,0,33
92,PF00001305,DSK00001257,OFF00001001,A,7/20/2005,126654000,T,0.02104,USD,4.05121,126505531.7,7/20/2005,no_in_code,8/11/2005,A,no_hedge_value,no_status,148468.2976,22,0,22
93,PF00001306,DSK00001258,OFF00001001,A,7/20/2005,126753000,T,0.02104,USD,4.05121,126500911.8,7/20/2005,no_in_code,8/25/2005,A,no_hedge_value,no_status,252088.2059,36,0,36
94,PF00001309,DSK00001261,OFF00001001,A,7/21/2005,110165000,T,0.02104,USD,4.05121,109568303.2,7/21/2005,no_in_code,10/25/2005,A,no_hedge_value,no_status,596696.8049,96,0,96
95,PF00001310,DSK00001262,OFF00001001,A,7/27/2005,42185000,T,0.02104,USD,4.05121,42108418.82,7/27/2005,no_in_code,8/29/2005,A,no_hedge_value,no_status,76581.17769,33,0,33
96,PF00001312,DSK00001264,OFF00001001,A,7/27/2005,150711000,T,0.02104,USD,4.05121,150419787.3,7/27/2005,no_in_code,8/31/2005,A,no_hedge_value,no_status,291212.7082,35,0,35
97,PF00001313,DSK00001265,OFF00001001,A,7/27/2005,21527000,N,0.02104,GBP,4.47995,21439222.54,7/27/2005,no_in_code,8/30/2005,C,no_hedge_value,no_status,87777.46344,34,0,34
98,PF00001316,DSK00001267,OFF00001001,A,8/5/2005,51975000,T,0.02111,USD,4.081766957,51880512.62,8/5/2005,no_in_code,9/9/2005,A,no_hedge_value,no_status,94487.38361,35,0,35
99,PF00001319,DSK00001270,OFF00001001,A,8/8/2005,80283500,T,0.02111,USD,4.081766957,80128078.24,8/8/2005,no_in_code,9/12/2005,A,no_hedge_value,no_status,155421.7624,35,0,35
100,PF00001324,DSK00001275,OFF00001001,A,8/11/2005,40777000,T,0.02111,USD,4.081766957,40707578.88,8/11/2005,no_in_code,9/14/2005,A,no_hedge_value,no_status,69421.12195,34,0,34
101,PF00001325,DSK00001276,OFF00001001,A,8/11/2005,359920000,T,0.02111,USD,4.081766957,359265069.8,8/11/2005,no_in_code,9/16/2005,A,no_hedge_value,no_status,654930.2426,36,0,36
102,PF00001331,DSK00001282,OFF00001001,A,8/25/2005,33264000,T,0.02111,USD,4.081766957,33203499.53,8/25/2005,no_in_code,9/29/2005,A,no_hedge_value,no_status,60500.46543,35,0,35
103,PF00001333,DSK00001284,OFF00001001,A,8/25/2005,14641000,N,0.02111,GBP,4.362583478,14586092.35,8/25/2005,no_in_code,9/29/2005,C,no_hedge_value,no_status,54907.64629,35,0,35
104,PF00001334,DSK00001285,OFF00001001,A,8/29/2005,93907000,T,0.02111,USD,4.081766957,93741702.13,8/29/2005,no_in_code,9/30/2005,A,no_hedge_value,no_status,165297.8681,32,0,32
105,PF00001335,DSK00001286,OFF00001002,B,9/6/2005,110000000,T,0.02112,USD,4.206251364,109786949.3,9/6/2005,no_in_code,10/11/2005,B,no_hedge_value,no_status,213050.724,35,0,35
106,PF00001340,DSK00001290,OFF00001001,A,9/9/2005,439164000,T,0.02112,USD,4.206251364,438389511.9,9/9/2005,no_in_code,10/13/2005,A,no_hedge_value,no_status,774488.1376,34,0,34
107,PF00001345,DSK00001295,OFF00001002,B,9/14/2005,83996000,T,0.02112,USD,4.206251364,83833084.37,9/14/2005,no_in_code,10/19/2005,B,no_hedge_value,no_status,162915.6273,35,0,35
108,PF00001348,DSK00001298,OFF00001001,A,7/27/2005,13717000,N,0.02112,GBP,4.528751364,13691896.94,9/16/2005,no_in_code,8/10/2005,C,no_hedge_value,no_status,25103.06146,-37,51,-37
109,PF00001352,DSK00001300,OFF00001001,A,9/23/2005,126731000,T,0.02112,USD,4.206251364,126507187.7,9/23/2005,no_in_code,10/27/2005,A,no_hedge_value,no_status,223812.2996,34,0,34
110,PF00001354,DSK00001302,OFF00001001,A,9/27/2005,238381000,T,0.02112,USD,4.206251364,237972869.9,9/27/2005,no_in_code,10/28/2005,A,no_hedge_value,no_status,408130.0823,31,0,31
111,PF00001355,DSK00001303,OFF00001002,B,9/27/2005,10736000,N,0.02112,GBP,4.528751364,10697159.06,9/27/2005,no_in_code,10/28/2005,C,no_hedge_value,no_status,38840.94492,31,0,31
112,PF00001356,DSK00001304,OFF00001002,B,9/28/2005,2277000,N,0.02112,GBP,4.528751364,2268744.257,9/28/2005,no_in_code,10/28/2005,C,no_hedge_value,no_status,8255.742803,30,0,30
113,PF00001368,DSK00001315,OFF00001001,A,10/12/2005,40029000,T,0.02122,USD,4.573799048,39951434.29,10/12/2005,no_in_code,11/16/2005,A,no_hedge_value,no_status,77565.70967,35,0,35
114,PF00001370,DSK00001318,OFF00001001,A,10/13/2005,387156000,T,0.02122,USD,4.573799048,385011060.6,10/13/2005,no_in_code,1/17/2006,A,no_hedge_value,no_status,2144939.398,96,0,96
115,PF00001372,DSK00001319,OFF00001001,A,10/14/2005,110825000,T,0.02122,USD,4.573799048,110636503.1,10/14/2005,no_in_code,11/15/2005,A,no_hedge_value,no_status,188496.9421,32,0,32
116,PF00001375,DSK00001322,OFF00001001,A,9/12/2005,50534000,T,0.02122,USD,4.573799048,50447846.29,10/17/2005,no_in_code,10/11/2005,A,no_hedge_value,no_status,86153.71083,-6,35,-6
117,PF00001382,DSK00001327,OFF00001002,B,10/26/2005,55000000,T,0.02122,USD,4.573799048,54896063.45,10/26/2005,no_in_code,11/29/2005,B,no_hedge_value,no_status,103936.5468,34,0,34
118,PF00001384,DSK00001329,OFF00001001,A,10/27/2005,138259000,T,0.02122,USD,4.573799048,138014599.1,10/27/2005,no_in_code,11/30/2005,A,no_hedge_value,no_status,244400.8527,34,0,34
119,PF00001388,DSK00001333,OFF00001001,A,11/4/2005,114048000,T,0.02125,USD,4.782632273,113840863.4,11/4/2005,no_in_code,11/21/2005,A,no_hedge_value,no_status,207136.6132,17,0,17
120,PF00001389,DSK00001334,OFF00001001,A,11/7/2005,75361000,T,0.02125,USD,4.782632273,75231309.58,11/7/2005,no_in_code,12/8/2005,A,no_hedge_value,no_status,129690.4187,31,0,31
121,PF00001391,DSK00001335,OFF00001001,A,11/8/2005,155958000,T,0.02125,USD,4.782632273,155687730.4,11/8/2005,no_in_code,12/9/2005,A,no_hedge_value,no_status,270269.5754,31,0,31
122,PF00001412,DSK00001356,OFF00001002,C,11/10/2005,330066000,M,0.02125,CHF,1.403825455,329916003.3,11/30/2005,no_in_code,11/18/2005,E,no_hedge_value,no_status,149996.66,-12,20,-12
123,PF00001419,DSK00001361,OFF00001001,A,12/7/2005,176737000,N,0.02406,GBP,4.248807727,176001842.7,12/7/2005,no_in_code,1/11/2006,C,no_hedge_value,no_status,735157.286,35,0,35
124,PF00001424,DSK00001366,OFF00001001,A,12/9/2005,404745000,T,0.02406,USD,4.396109091,403922008.9,12/9/2005,no_in_code,1/12/2006,A,no_hedge_value,no_status,822991.0931,34,0,34
125,PF00001427,DSK00001369,OFF00001001,A,12/13/2005,301719000,T,0.02406,USD,4.396109091,301044972.8,12/13/2005,no_in_code,1/17/2006,A,no_hedge_value,no_status,674027.1507,35,0,35
126,PF00001428,DSK00001370,OFF00001001,A,11/10/2005,110110000,T,0.02406,USD,4.396109091,109910512.4,12/13/2005,no_in_code,12/15/2005,A,no_hedge_value,no_status,199487.58,2,33,2
127,PF00001430,DSK00001372,OFF00001001,A,12/14/2005,87252000,T,0.02406,USD,4.396109091,87063169.66,12/14/2005,no_in_code,1/17/2006,A,no_hedge_value,no_status,188830.3413,34,0,34
128,PF00001432,DSK00001374,OFF00001002,C,12/15/2005,328817500,M,0.02406,CHF,1.324166364,328540014.6,12/15/2005,no_in_code,12/23/2005,E,no_hedge_value,no_status,277485.4347,8,0,8
129,PF00001433,DSK00001375,OFF00001001,A,12/16/2005,135729000,T,0.02406,USD,4.396109091,135425849.2,12/16/2005,no_in_code,1/23/2006,A,no_hedge_value,no_status,303150.7635,38,0,38
130,PF00001438,DSK00001380,OFF00001001,A,12/28/2005,60940000,T,0.02406,USD,4.396109091,60824332.39,12/28/2005,no_in_code,1/27/2006,A,no_hedge_value,no_status,115667.6054,30,0,30
131,PF00001440,DSK00001382,OFF00001002,B,12/28/2005,9427000,N,0.02406,GBP,4.248807727,9389916.262,12/28/2005,no_in_code,1/30/2006,C,no_hedge_value,no_status,37083.73779,33,0,33
132,PF00001441,DSK00001383,OFF00001001,A,1/4/2006,104720000,T,0.02399,USD,4.622546818,104500780.6,1/4/2006,no_in_code,2/6/2006,A,no_hedge_value,no_status,219219.4153,33,0,33
