,Period of Holding
247,-74 days +00:00:00.000000000
248,-44 days +00:00:00.000000000
249,-14 days +00:00:00.000000000
250,31 days 00:00:00.000000000
251,31 days 00:00:00.000000000
252,31 days 00:00:00.000000000
253,34 days 00:00:00.000000000
254,34 days 00:00:00.000000000
255,-11 days +00:00:00.000000000
256,-1 days +00:00:00.000000000
257,34 days 00:00:00.000000000
258,5 days 00:00:00.000000000
259,33 days 00:00:00.000000000
260,34 days 00:00:00.000000000
261,30 days 00:00:00.000000000
262,30 days 00:00:00.000000000
263,29 days 00:00:00.000000000
264,30 days 00:00:00.000000000
265,34 days 00:00:00.000000000
266,35 days 00:00:00.000000000
267,27 days 00:00:00.000000000
268,27 days 00:00:00.000000000
269,35 days 00:00:00.000000000
270,32 days 00:00:00.000000000
271,35 days 00:00:00.000000000
272,-2 days +00:00:00.000000000
273,2 days 00:00:00.000000000
274,35 days 00:00:00.000000000
275,34 days 00:00:00.000000000
276,2 days 00:00:00.000000000
277,28 days 00:00:00.000000000
278,28 days 00:00:00.000000000
279,20 days 00:00:00.000000000
280,32 days 00:00:00.000000000
281,34 days 00:00:00.000000000
282,34 days 00:00:00.000000000
283,2 days 00:00:00.000000000
284,34 days 00:00:00.000000000
285,34 days 00:00:00.000000000
286,19 days 00:00:00.000000000
287,34 days 00:00:00.000000000
288,33 days 00:00:00.000000000
289,33 days 00:00:00.000000000
290,34 days 00:00:00.000000000
291,19 days 00:00:00.000000000
292,33 days 00:00:00.000000000
293,31 days 00:00:00.000000000
294,31 days 00:00:00.000000000
295,34 days 00:00:00.000000000
296,33 days 00:00:00.000000000
297,-8 days +00:00:00.000000000
298,2 days 00:00:00.000000000
299,34 days 00:00:00.000000000
300,95 days 00:00:00.000000000
301,95 days 00:00:00.000000000
302,33 days 00:00:00.000000000
303,32 days 00:00:00.000000000
304,18 days 00:00:00.000000000
305,35 days 00:00:00.000000000
306,28 days 00:00:00.000000000
307,28 days 00:00:00.000000000
308,32 days 00:00:00.000000000
309,32 days 00:00:00.000000000
310,30 days 00:00:00.000000000
311,20 days 00:00:00.000000000
312,29 days 00:00:00.000000000
313,32 days 00:00:00.000000000
314,32 days 00:00:00.000000000
315,30 days 00:00:00.000000000
316,30 days 00:00:00.000000000
317,32 days 00:00:00.000000000
318,32 days 00:00:00.000000000
319,29 days 00:00:00.000000000
320,37 days 00:00:00.000000000
321,35 days 00:00:00.000000000
322,14 days 00:00:00.000000000
323,30 days 00:00:00.000000000
324,32 days 00:00:00.000000000
325,32 days 00:00:00.000000000
326,35 days 00:00:00.000000000
327,19 days 00:00:00.000000000
328,39 days 00:00:00.000000000
329,35 days 00:00:00.000000000
330,35 days 00:00:00.000000000
331,35 days 00:00:00.000000000
332,-11 days +00:00:00.000000000
333,35 days 00:00:00.000000000
334,17 days 00:00:00.000000000
335,18 days 00:00:00.000000000
336,30 days 00:00:00.000000000
337,34 days 00:00:00.000000000
338,34 days 00:00:00.000000000
339,19 days 00:00:00.000000000
340,34 days 00:00:00.000000000
341,32 days 00:00:00.000000000
342,34 days 00:00:00.000000000
343,35 days 00:00:00.000000000
344,97 days 00:00:00.000000000
345,12 days 00:00:00.000000000
346,32 days 00:00:00.000000000
347,30 days 00:00:00.000000000
348,14 days 00:00:00.000000000
349,92 days 00:00:00.000000000
350,95 days 00:00:00.000000000
351,34 days 00:00:00.000000000
352,19 days 00:00:00.000000000
353,35 days 00:00:00.000000000
354,35 days 00:00:00.000000000
355,31 days 00:00:00.000000000
356,35 days 00:00:00.000000000
357,34 days 00:00:00.000000000
358,34 days 00:00:00.000000000
359,34 days 00:00:00.000000000
360,34 days 00:00:00.000000000
361,31 days 00:00:00.000000000
362,30 days 00:00:00.000000000
363,35 days 00:00:00.000000000
364,34 days 00:00:00.000000000
365,35 days 00:00:00.000000000
366,19 days 00:00:00.000000000
367,36 days 00:00:00.000000000
368,35 days 00:00:00.000000000
369,35 days 00:00:00.000000000
370,35 days 00:00:00.000000000
371,18 days 00:00:00.000000000
372,33 days 00:00:00.000000000
373,33 days 00:00:00.000000000
374,31 days 00:00:00.000000000
375,34 days 00:00:00.000000000
376,34 days 00:00:00.000000000
377,33 days 00:00:00.000000000
378,32 days 00:00:00.000000000
379,18 days 00:00:00.000000000
380,29 days 00:00:00.000000000
381,31 days 00:00:00.000000000
382,31 days 00:00:00.000000000
383,33 days 00:00:00.000000000
384,29 days 00:00:00.000000000
385,34 days 00:00:00.000000000
386,33 days 00:00:00.000000000
387,31 days 00:00:00.000000000
388,30 days 00:00:00.000000000
389,36 days 00:00:00.000000000
390,35 days 00:00:00.000000000
391,36 days 00:00:00.000000000
392,96 days 00:00:00.000000000
393,31 days 00:00:00.000000000
394,92 days 00:00:00.000000000
395,33 days 00:00:00.000000000
396,96 days 00:00:00.000000000
397,20 days 00:00:00.000000000
398,35 days 00:00:00.000000000
399,35 days 00:00:00.000000000
400,35 days 00:00:00.000000000
401,35 days 00:00:00.000000000
402,35 days 00:00:00.000000000
403,35 days 00:00:00.000000000
404,36 days 00:00:00.000000000
405,35 days 00:00:00.000000000
406,35 days 00:00:00.000000000
407,17 days 00:00:00.000000000
408,35 days 00:00:00.000000000
409,35 days 00:00:00.000000000
410,-104 days +00:00:00.000000000
411,-71 days +00:00:00.000000000
412,-41 days +00:00:00.000000000
413,35 days 00:00:00.000000000
414,35 days 00:00:00.000000000
415,19 days 00:00:00.000000000
416,33 days 00:00:00.000000000
417,33 days 00:00:00.000000000
418,32 days 00:00:00.000000000
419,31 days 00:00:00.000000000
420,31 days 00:00:00.000000000
421,29 days 00:00:00.000000000
422,29 days 00:00:00.000000000
423,33 days 00:00:00.000000000
424,33 days 00:00:00.000000000
425,34 days 00:00:00.000000000
426,33 days 00:00:00.000000000
427,31 days 00:00:00.000000000
428,-21 days +00:00:00.000000000
429,-83 days +00:00:00.000000000
430,-52 days +00:00:00.000000000
431,31 days 00:00:00.000000000
432,34 days 00:00:00.000000000
433,33 days 00:00:00.000000000
434,34 days 00:00:00.000000000
435,31 days 00:00:00.000000000
436,34 days 00:00:00.000000000
437,34 days 00:00:00.000000000
438,-45 days +00:00:00.000000000
439,-13 days +00:00:00.000000000
440,8 days 00:00:00.000000000
441,34 days 00:00:00.000000000
442,30 days 00:00:00.000000000
443,30 days 00:00:00.000000000
444,34 days 00:00:00.000000000
445,31 days 00:00:00.000000000
446,36 days 00:00:00.000000000
447,34 days 00:00:00.000000000
448,19 days 00:00:00.000000000
449,35 days 00:00:00.000000000
450,32 days 00:00:00.000000000
451,35 days 00:00:00.000000000
452,29 days 00:00:00.000000000
453,2 days 00:00:00.000000000
454,37 days 00:00:00.000000000
455,34 days 00:00:00.000000000
456,33 days 00:00:00.000000000
457,33 days 00:00:00.000000000
458,96 days 00:00:00.000000000
459,35 days 00:00:00.000000000
460,35 days 00:00:00.000000000
461,33 days 00:00:00.000000000
462,94 days 00:00:00.000000000
463,18 days 00:00:00.000000000
464,35 days 00:00:00.000000000
465,35 days 00:00:00.000000000
466,35 days 00:00:00.000000000
467,35 days 00:00:00.000000000
468,80 days 00:00:00.000000000
469,34 days 00:00:00.000000000
470,35 days 00:00:00.000000000
471,32 days 00:00:00.000000000
472,32 days 00:00:00.000000000
473,32 days 00:00:00.000000000
474,35 days 00:00:00.000000000
475,33 days 00:00:00.000000000
476,32 days 00:00:00.000000000
477,30 days 00:00:00.000000000
478,31 days 00:00:00.000000000
479,31 days 00:00:00.000000000
480,33 days 00:00:00.000000000
481,33 days 00:00:00.000000000
482,-36 days +00:00:00.000000000
483,-3 days +00:00:00.000000000
484,92 days 00:00:00.000000000
485,30 days 00:00:00.000000000
486,28 days 00:00:00.000000000
487,32 days 00:00:00.000000000
488,31 days 00:00:00.000000000
489,30 days 00:00:00.000000000
490,39 days 00:00:00.000000000
491,32 days 00:00:00.000000000
492,34 days 00:00:00.000000000
493,34 days 00:00:00.000000000
494,20 days 00:00:00.000000000
495,22 days 00:00:00.000000000
496,36 days 00:00:00.000000000
497,33 days 00:00:00.000000000
498,31 days 00:00:00.000000000
499,31 days 00:00:00.000000000
500,35 days 00:00:00.000000000
501,33 days 00:00:00.000000000
502,34 days 00:00:00.000000000
503,32 days 00:00:00.000000000
504,34 days 00:00:00.000000000
505,41 days 00:00:00.000000000
506,35 days 00:00:00.000000000
507,35 days 00:00:00.000000000
508,34 days 00:00:00.000000000
509,16 days 00:00:00.000000000
510,33 days 00:00:00.000000000
511,28 days 00:00:00.000000000
512,33 days 00:00:00.000000000
513,34 days 00:00:00.000000000
514,32 days 00:00:00.000000000
515,-28 days +00:00:00.000000000
516,34 days 00:00:00.000000000
517,34 days 00:00:00.000000000
518,92 days 00:00:00.000000000
519,92 days 00:00:00.000000000
520,31 days 00:00:00.000000000
521,32 days 00:00:00.000000000
522,34 days 00:00:00.000000000
523,34 days 00:00:00.000000000
524,34 days 00:00:00.000000000
525,20 days 00:00:00.000000000
526,32 days 00:00:00.000000000
527,30 days 00:00:00.000000000
528,31 days 00:00:00.000000000
529,30 days 00:00:00.000000000
530,30 days 00:00:00.000000000
531,18 days 00:00:00.000000000
532,-143 days +00:00:00.000000000
533,-114 days +00:00:00.000000000
534,-83 days +00:00:00.000000000
535,-22 days +00:00:00.000000000
536,31 days 00:00:00.000000000
537,24 days 00:00:00.000000000
538,31 days 00:00:00.000000000
539,29 days 00:00:00.000000000
540,4 days 00:00:00.000000000
541,32 days 00:00:00.000000000
542,97 days 00:00:00.000000000
543,30 days 00:00:00.000000000
544,32 days 00:00:00.000000000
545,32 days 00:00:00.000000000
546,18 days 00:00:00.000000000
547,32 days 00:00:00.000000000
548,32 days 00:00:00.000000000
549,7 days 00:00:00.000000000
550,35 days 00:00:00.000000000
551,36 days 00:00:00.000000000
552,18 days 00:00:00.000000000
553,36 days 00:00:00.000000000
554,35 days 00:00:00.000000000
555,38 days 00:00:00.000000000
556,34 days 00:00:00.000000000
557,35 days 00:00:00.000000000
558,27 days 00:00:00.000000000
559,36 days 00:00:00.000000000
560,38 days 00:00:00.000000000
561,35 days 00:00:00.000000000
562,19 days 00:00:00.000000000
563,36 days 00:00:00.000000000
564,16 days 00:00:00.000000000
565,23 days 00:00:00.000000000
566,36 days 00:00:00.000000000
567,20 days 00:00:00.000000000
568,-80 days +00:00:00.000000000
569,-22 days +00:00:00.000000000
570,31 days 00:00:00.000000000
571,93 days 00:00:00.000000000
572,33 days 00:00:00.000000000
573,33 days 00:00:00.000000000
574,33 days 00:00:00.000000000
575,33 days 00:00:00.000000000
576,33 days 00:00:00.000000000
577,29 days 00:00:00.000000000
578,29 days 00:00:00.000000000
579,31 days 00:00:00.000000000
580,35 days 00:00:00.000000000
581,-2 days +00:00:00.000000000
582,32 days 00:00:00.000000000
583,17 days 00:00:00.000000000
584,36 days 00:00:00.000000000
585,12 days 00:00:00.000000000
586,36 days 00:00:00.000000000
587,21 days 00:00:00.000000000
588,21 days 00:00:00.000000000
589,21 days 00:00:00.000000000
590,21 days 00:00:00.000000000
591,35 days 00:00:00.000000000
592,32 days 00:00:00.000000000
593,33 days 00:00:00.000000000
594,-107 days +00:00:00.000000000
595,-77 days +00:00:00.000000000
596,-16 days +00:00:00.000000000
597,12 days 00:00:00.000000000
598,33 days 00:00:00.000000000
599,33 days 00:00:00.000000000
600,17 days 00:00:00.000000000
601,17 days 00:00:00.000000000
602,25 days 00:00:00.000000000
603,37 days 00:00:00.000000000
604,30 days 00:00:00.000000000
605,34 days 00:00:00.000000000
606,31 days 00:00:00.000000000
607,36 days 00:00:00.000000000
608,19 days 00:00:00.000000000
609,19 days 00:00:00.000000000
610,-3 days +00:00:00.000000000
611,26 days 00:00:00.000000000
612,34 days 00:00:00.000000000
613,22 days 00:00:00.000000000
614,30 days 00:00:00.000000000
615,14 days 00:00:00.000000000
616,33 days 00:00:00.000000000
617,23 days 00:00:00.000000000
618,19 days 00:00:00.000000000
619,33 days 00:00:00.000000000
620,33 days 00:00:00.000000000
621,31 days 00:00:00.000000000
622,30 days 00:00:00.000000000
623,33 days 00:00:00.000000000
624,32 days 00:00:00.000000000
625,34 days 00:00:00.000000000
626,93 days 00:00:00.000000000
627,30 days 00:00:00.000000000
628,34 days 00:00:00.000000000
629,20 days 00:00:00.000000000
630,20 days 00:00:00.000000000
631,35 days 00:00:00.000000000
632,34 days 00:00:00.000000000
633,35 days 00:00:00.000000000
634,34 days 00:00:00.000000000
635,15 days 00:00:00.000000000
636,30 days 00:00:00.000000000
637,-15 days +00:00:00.000000000
638,15 days 00:00:00.000000000
639,13 days 00:00:00.000000000
640,19 days 00:00:00.000000000
641,34 days 00:00:00.000000000
642,32 days 00:00:00.000000000
643,34 days 00:00:00.000000000
644,96 days 00:00:00.000000000
645,35 days 00:00:00.000000000
646,35 days 00:00:00.000000000
647,38 days 00:00:00.000000000
648,35 days 00:00:00.000000000
649,96 days 00:00:00.000000000
650,15 days 00:00:00.000000000
651,32 days 00:00:00.000000000
652,32 days 00:00:00.000000000
653,35 days 00:00:00.000000000
654,33 days 00:00:00.000000000
655,33 days 00:00:00.000000000
656,18 days 00:00:00.000000000
657,35 days 00:00:00.000000000
658,12 days 00:00:00.000000000
659,12 days 00:00:00.000000000
660,34 days 00:00:00.000000000
661,35 days 00:00:00.000000000
662,95 days 00:00:00.000000000
663,24 days 00:00:00.000000000
664,20 days 00:00:00.000000000
665,20 days 00:00:00.000000000
666,35 days 00:00:00.000000000
667,97 days 00:00:00.000000000
668,35 days 00:00:00.000000000
669,35 days 00:00:00.000000000
670,34 days 00:00:00.000000000
671,27 days 00:00:00.000000000
672,35 days 00:00:00.000000000
673,34 days 00:00:00.000000000
674,35 days 00:00:00.000000000
675,33 days 00:00:00.000000000
676,33 days 00:00:00.000000000
677,13 days 00:00:00.000000000
678,30 days 00:00:00.000000000
679,9 days 00:00:00.000000000
680,9 days 00:00:00.000000000
681,8 days 00:00:00.000000000
682,13 days 00:00:00.000000000
683,8 days 00:00:00.000000000
684,33 days 00:00:00.000000000
685,32 days 00:00:00.000000000
686,30 days 00:00:00.000000000
687,9 days 00:00:00.000000000
688,34 days 00:00:00.000000000
689,8 days 00:00:00.000000000
690,33 days 00:00:00.000000000
691,10 days 00:00:00.000000000
692,30 days 00:00:00.000000000
693,93 days 00:00:00.000000000
694,34 days 00:00:00.000000000
695,8 days 00:00:00.000000000
696,19 days 00:00:00.000000000
697,10 days 00:00:00.000000000
698,10 days 00:00:00.000000000
699,35 days 00:00:00.000000000
700,7 days 00:00:00.000000000
701,32 days 00:00:00.000000000
702,13 days 00:00:00.000000000
703,13 days 00:00:00.000000000
704,8 days 00:00:00.000000000
705,35 days 00:00:00.000000000
706,20 days 00:00:00.000000000
707,20 days 00:00:00.000000000
708,38 days 00:00:00.000000000
709,36 days 00:00:00.000000000
710,35 days 00:00:00.000000000
711,30 days 00:00:00.000000000
712,95 days 00:00:00.000000000
713,8 days 00:00:00.000000000
714,13 days 00:00:00.000000000
715,10 days 00:00:00.000000000
716,31 days 00:00:00.000000000
717,35 days 00:00:00.000000000
718,36 days 00:00:00.000000000
719,35 days 00:00:00.000000000
720,8 days 00:00:00.000000000
721,16 days 00:00:00.000000000
722,21 days 00:00:00.000000000
723,11 days 00:00:00.000000000
724,94 days 00:00:00.000000000
725,32 days 00:00:00.000000000
726,94 days 00:00:00.000000000
727,35 days 00:00:00.000000000
728,7 days 00:00:00.000000000
729,13 days 00:00:00.000000000
730,33 days 00:00:00.000000000
731,33 days 00:00:00.000000000
732,11 days 00:00:00.000000000
733,29 days 00:00:00.000000000
734,8 days 00:00:00.000000000
735,17 days 00:00:00.000000000
736,95 days 00:00:00.000000000
737,93 days 00:00:00.000000000
738,-21 days +00:00:00.000000000
739,3 days 00:00:00.000000000
740,33 days 00:00:00.000000000
741,92 days 00:00:00.000000000
742,13 days 00:00:00.000000000
743,32 days 00:00:00.000000000
744,13 days 00:00:00.000000000
745,11 days 00:00:00.000000000
746,95 days 00:00:00.000000000
747,33 days 00:00:00.000000000
748,32 days 00:00:00.000000000
749,32 days 00:00:00.000000000
750,19 days 00:00:00.000000000
751,19 days 00:00:00.000000000
752,7 days 00:00:00.000000000
753,11 days 00:00:00.000000000
754,33 days 00:00:00.000000000
755,22 days 00:00:00.000000000
756,35 days 00:00:00.000000000
757,4 days 00:00:00.000000000
758,12 days 00:00:00.000000000
759,35 days 00:00:00.000000000
760,11 days 00:00:00.000000000
761,35 days 00:00:00.000000000
762,35 days 00:00:00.000000000
763,36 days 00:00:00.000000000
764,34 days 00:00:00.000000000
765,35 days 00:00:00.000000000
766,36 days 00:00:00.000000000
767,8 days 00:00:00.000000000
768,35 days 00:00:00.000000000
769,34 days 00:00:00.000000000
770,32 days 00:00:00.000000000
771,33 days 00:00:00.000000000
772,34 days 00:00:00.000000000
773,34 days 00:00:00.000000000
774,33 days 00:00:00.000000000
775,35 days 00:00:00.000000000
776,15 days 00:00:00.000000000
777,7 days 00:00:00.000000000
778,32 days 00:00:00.000000000
779,10 days 00:00:00.000000000
780,29 days 00:00:00.000000000
781,17 days 00:00:00.000000000
782,34 days 00:00:00.000000000
783,34 days 00:00:00.000000000
784,34 days 00:00:00.000000000
785,29 days 00:00:00.000000000
786,34 days 00:00:00.000000000
787,8 days 00:00:00.000000000
788,95 days 00:00:00.000000000
789,35 days 00:00:00.000000000
790,33 days 00:00:00.000000000
791,10 days 00:00:00.000000000
792,34 days 00:00:00.000000000
793,35 days 00:00:00.000000000
794,35 days 00:00:00.000000000
795,34 days 00:00:00.000000000
796,34 days 00:00:00.000000000
797,13 days 00:00:00.000000000
798,1 days 00:00:00.000000000
799,30 days 00:00:00.000000000
800,30 days 00:00:00.000000000
801,30 days 00:00:00.000000000
802,30 days 00:00:00.000000000
803,35 days 00:00:00.000000000
804,18 days 00:00:00.000000000
805,35 days 00:00:00.000000000
806,33 days 00:00:00.000000000
807,8 days 00:00:00.000000000
808,31 days 00:00:00.000000000
809,31 days 00:00:00.000000000
810,31 days 00:00:00.000000000
811,33 days 00:00:00.000000000
812,8 days 00:00:00.000000000
813,31 days 00:00:00.000000000
814,12 days 00:00:00.000000000
815,28 days 00:00:00.000000000
816,31 days 00:00:00.000000000
817,35 days 00:00:00.000000000
818,34 days 00:00:00.000000000
819,8 days 00:00:00.000000000
820,18 days 00:00:00.000000000
821,18 days 00:00:00.000000000
822,11 days 00:00:00.000000000
823,31 days 00:00:00.000000000
824,9 days 00:00:00.000000000
825,34 days 00:00:00.000000000
826,25 days 00:00:00.000000000
827,36 days 00:00:00.000000000
828,19 days 00:00:00.000000000
829,19 days 00:00:00.000000000
830,33 days 00:00:00.000000000
831,8 days 00:00:00.000000000
832,33 days 00:00:00.000000000
833,14 days 00:00:00.000000000
834,35 days 00:00:00.000000000
835,12 days 00:00:00.000000000
836,33 days 00:00:00.000000000
837,34 days 00:00:00.000000000
838,33 days 00:00:00.000000000
839,35 days 00:00:00.000000000
840,31 days 00:00:00.000000000
841,33 days 00:00:00.000000000
842,22 days 00:00:00.000000000
843,33 days 00:00:00.000000000
844,34 days 00:00:00.000000000
845,8 days 00:00:00.000000000
846,36 days 00:00:00.000000000
847,8 days 00:00:00.000000000
848,33 days 00:00:00.000000000
849,37 days 00:00:00.000000000
850,10 days 00:00:00.000000000
851,17 days 00:00:00.000000000
852,35 days 00:00:00.000000000
853,37 days 00:00:00.000000000
854,96 days 00:00:00.000000000
855,34 days 00:00:00.000000000
856,37 days 00:00:00.000000000
857,35 days 00:00:00.000000000
858,34 days 00:00:00.000000000
859,9 days 00:00:00.000000000
860,9 days 00:00:00.000000000
861,37 days 00:00:00.000000000
862,8 days 00:00:00.000000000
863,34 days 00:00:00.000000000
864,15 days 00:00:00.000000000
865,15 days 00:00:00.000000000
866,12 days 00:00:00.000000000
867,35 days 00:00:00.000000000
868,20 days 00:00:00.000000000
869,11 days 00:00:00.000000000
