portfolio_id,desk_id,office_id,pf_category,start_date, sold ,country_code,euribor_rate,currency,libor_rate, bought ,creation_date,indicator_code,sell_date,type,hedge_value,status,return, absolute_return ,period_of_holding,start-create,start-sell,create-sell,returnf
PF00001018,DSK00001016,OFF00001001,A,6/11/2004," 77,099,000 ",T,0.02075,USD,2.181960455," 76,960,823 ",8/4/2004,no_in_code,7/16/2004,A,no_hedge_value,no_status,3%," 138,176.74 ",-19,54,35,-19,3%
PF00001019,DSK00001017,OFF00001002,B,8/5/2004," 134,200,000 ",T,0.02075,USD,2.181960455," 133,967,789 ",8/5/2004,no_in_code,9/8/2004,B,no_hedge_value,no_status,2%," 232,210.83 ",34,0,34,34,2%
PF00001020,DSK00001017,OFF00001001,A,8/5/2004," 54,989,000 ",T,0.02075,USD,2.181960455," 54,893,851 ",8/5/2004,no_in_code,9/8/2004,A,no_hedge_value,no_status,2%," 95,149.34 ",34,0,34,34,2%
PF00001022,DSK00001018,OFF00001001,A,8/9/2004," 61,567,000 ",T,0.02075,USD,2.181960455," 61,460,980 ",8/9/2004,no_in_code,9/9/2004,A,no_hedge_value,no_status,2%," 106,020.19 ",31,0,31,31,2%
PF00001026,DSK00001022,OFF00001001,A,5/11/2004," 80,201,000 ",T,0.02075,USD,2.181960455," 79,779,019 ",8/10/2004,no_in_code,8/12/2004,A,no_hedge_value,no_status,3%," 421,981.15 ",2,91,93,2,3%
PF00001027,DSK00001023,OFF00001001,A,8/10/2004," 204,941,000 ",T,0.02075,USD,2.181960455," 203,820,722 ",8/10/2004,no_in_code,9/13/2004,A,no_hedge_value,no_status,3%," 1,120,277.95 ",34,0,34,34,3%
PF00001029,DSK00001024,OFF00001002,B,8/10/2004," 88,000,000 ",T,0.02075,USD,2.181960455," 87,837,793 ",8/10/2004,no_in_code,9/13/2004,B,no_hedge_value,no_status,2%," 162,207.12 ",34,0,34,34,2%
PF00001030,DSK00001025,OFF00001001,A,8/11/2004," 120,296,000 ",T,0.02075,USD,2.181960455," 120,073,997 ",8/11/2004,no_in_code,9/14/2004,A,no_hedge_value,no_status,2%," 222,003.48 ",34,0,34,34,2%
PF00001031,DSK00001026,OFF00001001,A,7/20/2004," 59,037,000 ",T,0.02075,USD,2.181960455," 58,938,127 ",8/11/2004,no_in_code,8/27/2004,A,no_hedge_value,no_status,2%," 98,872.80 ",16,22,38,16,2%
PF00001033,DSK00001028,OFF00001002,B,8/12/2004," 44,077,000 ",T,0.02075,USD,2.181960455," 44,000,732 ",8/12/2004,no_in_code,9/15/2004,B,no_hedge_value,no_status,2%," 76,267.94 ",34,0,34,34,2%
PF00001034,DSK00001029,OFF00001001,A,8/12/2004," 71,885,000 ",T,0.02075,USD,2.181960455," 71,760,913 ",8/12/2004,no_in_code,9/15/2004,A,no_hedge_value,no_status,2%," 124,086.58 ",34,0,34,34,2%
PF00001035,DSK00001030,OFF00001001,A,8/25/2004," 44,726,000 ",T,0.02075,USD,2.181960455," 44,640,885 ",8/25/2004,no_in_code,9/29/2004,A,no_hedge_value,no_status,2%," 85,115.29 ",35,0,35,35,2%
PF00001037,DSK00001031,OFF00001002,B,9/6/2004," 134,200,000 ",T,0.02076,USD,2.367102273," 133,967,789 ",9/6/2004,no_in_code,10/8/2004,B,no_hedge_value,no_status,2%," 232,210.83 ",32,0,32,32,2%
PF00001038,DSK00001032,OFF00001001,A,9/7/2004," 89,100,000 ",T,0.02076,USD,2.367102273," 88,935,568 ",9/7/2004,no_in_code,10/11/2004,A,no_hedge_value,no_status,2%," 164,431.98 ",34,0,34,34,2%
PF00001039,DSK00001033,OFF00001001,A,9/9/2004," 159,995,000 ",T,0.02076,USD,2.367102273," 159,134,876 ",9/9/2004,no_in_code,12/14/2004,A,no_hedge_value,no_status,3%," 860,124.00 ",96,0,96,96,3%
PF00001040,DSK00001034,OFF00001001,A,9/9/2004," 176,704,000 ",N,0.02076,GBP,5.176733182," 176,006,724 ",9/9/2004,no_in_code,10/13/2004,C,no_hedge_value,no_status,6%," 697,275.95 ",34,0,34,34,6%
PF00001042,DSK00001035,OFF00001002,B,9/9/2004," 88,000,000 ",T,0.02076,USD,2.367102273," 87,847,731 ",9/9/2004,no_in_code,10/13/2004,B,no_hedge_value,no_status,2%," 152,269.40 ",34,0,34,34,2%
PF00001043,DSK00001036,OFF00001001,A,9/10/2004," 38,819,000 ",T,0.02076,USD,2.367102273," 38,751,830 ",9/10/2004,no_in_code,10/14/2004,A,no_hedge_value,no_status,2%," 67,169.84 ",34,0,34,34,2%
PF00001044,DSK00001037,OFF00001001,A,9/10/2004," 73,557,000 ",T,0.02076,USD,2.367102273," 73,429,722 ",9/10/2004,no_in_code,10/14/2004,A,no_hedge_value,no_status,2%," 127,278.18 ",34,0,34,34,2%
PF00001046,DSK00001039,OFF00001001,A,9/13/2004," 68,343,000 ",T,0.02076,USD,2.367102273," 68,224,886 ",9/13/2004,no_in_code,10/15/2004,A,no_hedge_value,no_status,2%," 118,114.33 ",32,0,32,32,2%
PF00001048,DSK00001041,OFF00001002,B,10/6/2004," 134,200,000 ",T,0.02079,USD,2.469196667," 133,949,960 ",10/6/2004,no_in_code,11/9/2004,B,no_hedge_value,no_status,3%," 250,039.93 ",34,0,34,34,3%
PF00001054,DSK00001044,OFF00001001,A,10/11/2004," 165,792,000 ",T,0.02079,USD,2.469196667," 165,475,356 ",10/11/2004,no_in_code,11/15/2004,A,no_hedge_value,no_status,3%," 316,643.99 ",35,0,35,35,3%
PF00001052,DSK00001042,OFF00001001,A,10/7/2004," 138,083,000 ",T,0.02079,USD,2.469196667," 137,842,924 ",10/7/2004,no_in_code,11/10/2004,A,no_hedge_value,no_status,3%," 240,076.43 ",34,0,34,34,3%
PF00001055,DSK00001044,OFF00001002,B,10/11/2004," 41,800,000 ",T,0.02079,USD,2.469196667," 41,720,167 ",10/11/2004,no_in_code,11/15/2004,B,no_hedge_value,no_status,3%," 79,833.28 ",35,0,35,35,3%
PF00001056,DSK00001045,OFF00001001,A,10/11/2004," 254,232,000 ",T,0.02079,USD,2.469196667," 252,824,505 ",10/11/2004,no_in_code,1/14/2005,A,no_hedge_value,no_status,3%," 1,407,495.09 ",95,0,95,95,3%
PF00001057,DSK00001046,OFF00001001,A,10/11/2004," 126,214,000 ",T,0.02079,USD,2.469196667," 125,972,946 ",10/11/2004,no_in_code,11/15/2004,A,no_hedge_value,no_status,3%," 241,054.48 ",35,0,35,35,3%
PF00001058,DSK00001047,OFF00001001,A,10/12/2004," 45,760,000 ",T,0.02079,USD,2.469196667," 45,672,499 ",10/12/2004,no_in_code,11/16/2004,A,no_hedge_value,no_status,3%," 87,500.90 ",35,0,35,35,3%
PF00001061,DSK00001051,OFF00001001,A,10/15/2004," 82,962,000 ",T,0.02079,USD,2.469196667," 82,506,040 ",10/15/2004,no_in_code,1/19/2005,A,no_hedge_value,no_status,3%," 455,960.46 ",96,0,96,96,3%
PF00001062,DSK00001052,OFF00001001,A,10/27/2004," 44,066,000 ",T,0.02079,USD,2.469196667," 43,986,647 ",10/27/2004,no_in_code,11/29/2004,A,no_hedge_value,no_status,3%," 79,353.13 ",33,0,33,33,3%
PF00001063,DSK00001053,OFF00001002,B,8/13/2004," 88,154,000 ",T,0.02079,USD,2.469196667," 88,001,464 ",10/27/2004,no_in_code,9/16/2004,B,no_hedge_value,no_status,2%," 152,535.87 ",-41,75,34,-41,2%
PF00001064,DSK00001054,OFF00001001,A,10/27/2004," 88,165,000 ",T,0.02079,USD,2.469196667," 88,002,294 ",10/27/2004,no_in_code,10/18/2004,A,no_hedge_value,no_status,2%," 162,706.46 ",-9,0,-9,-9,2%
PF00001065,DSK00001055,OFF00001001,A,10/27/2004," 88,165,000 ",T,0.02079,USD,2.469196667," 88,006,234 ",10/27/2004,no_in_code,11/18/2004,A,no_hedge_value,no_status,3%," 158,765.69 ",22,0,22,22,3%
PF00001066,DSK00001056,OFF00001001,A,9/29/2004," 143,143,000 ",T,0.02079,USD,2.469196667," 142,903,270 ",10/28/2004,no_in_code,10/29/2004,A,no_hedge_value,no_status,2%," 239,730.16 ",1,29,30,1,2%
PF00001070,DSK00001060,OFF00001001,A,10/28/2004," 442,354,000 ",T,0.02079,USD,2.469196667," 440,001,641 ",10/28/2004,no_in_code,10/15/2004,A,no_hedge_value,no_status,3%," 2,352,358.77 ",-13,0,-13,-13,3%
PF00001071,DSK00001061,OFF00001001,A,10/15/2004," 365,321,000 ",T,0.02079,USD,2.469196667," 364,663,138 ",10/28/2004,no_in_code,11/18/2004,A,no_hedge_value,no_status,3%," 657,862.43 ",21,13,34,21,3%
PF00001072,DSK00001062,OFF00001001,A,9/14/2004," 365,563,000 ",T,0.02079,USD,2.469196667," 364,888,362 ",10/28/2004,no_in_code,10/18/2004,A,no_hedge_value,no_status,2%," 674,638.04 ",-10,44,34,-10,2%
PF00001073,DSK00001048,OFF00001001,A,10/13/2004," 282,315,000 ",T,0.02079,USD,2.469196667," 281,775,166 ",10/29/2004,no_in_code,11/17/2004,A,no_hedge_value,no_status,3%," 539,834.26 ",19,16,35,19,3%
PF00001074,DSK00001048,OFF00001002,B,10/13/2004," 77,000,000 ",T,0.02079,USD,2.469196667," 76,852,763 ",10/29/2004,no_in_code,11/17/2004,B,no_hedge_value,no_status,3%," 147,237.08 ",19,16,35,19,3%
PF00001075,DSK00001063,OFF00001002,B,11/5/2004," 134,200,000 ",T,0.02093,USD,2.803863636," 133,973,362 ",11/5/2004,no_in_code,12/8/2004,B,no_hedge_value,no_status,3%," 226,638.27 ",33,0,33,33,3%
PF00001076,DSK00001063,OFF00001001,A,11/5/2004," 49,346,000 ",T,0.02093,USD,2.803863636," 49,262,664 ",11/5/2004,no_in_code,12/8/2004,A,no_hedge_value,no_status,3%," 83,336.01 ",33,0,33,33,3%
PF00001079,DSK00001066,OFF00001001,A,9/15/2004," 99,176,000 ",T,0.02093,USD,2.803863636," 99,004,392 ",11/8/2004,no_in_code,10/15/2004,A,no_hedge_value,no_status,2%," 171,607.61 ",-24,54,30,-24,2%
PF00001080,DSK00001067,OFF00001001,A,8/15/2004," 99,176,000 ",T,0.02093,USD,2.803863636," 99,004,392 ",11/8/2004,no_in_code,9/15/2004,A,no_hedge_value,no_status,2%," 171,607.61 ",-54,85,31,-54,2%
PF00001081,DSK00001068,OFF00001001,A,10/8/2004," 81,290,000 ",T,0.02093,USD,2.803863636," 81,143,963 ",11/8/2004,no_in_code,11/12/2004,A,no_hedge_value,no_status,3%," 146,036.59 ",4,31,35,4,3%
PF00001082,DSK00001069,OFF00001001,A,10/13/2004," 387,178,000 ",T,0.02093,USD,2.803863636," 385,006,563 ",11/9/2004,no_in_code,1/17/2005,A,no_hedge_value,no_status,3%," 2,171,437.02 ",69,27,96,69,3%
PF00001083,DSK00001070,OFF00001001,A,11/9/2004," 82,654,000 ",T,0.02093,USD,2.803863636," 82,504,804 ",11/9/2004,no_in_code,12/13/2004,A,no_hedge_value,no_status,3%," 149,196.19 ",34,0,34,34,3%
PF00001084,DSK00001071,OFF00001001,A,11/10/2004," 111,108,800 ",T,0.02093,USD,2.803863636," 110,927,360 ",11/10/2004,no_in_code,12/13/2004,A,no_hedge_value,no_status,3%," 181,440.18 ",33,0,33,33,3%
PF00001089,DSK00001075,OFF00001001,A,11/12/2004," 83,490,000 ",T,0.02093,USD,2.803863636," 83,051,454 ",11/12/2004,no_in_code,2/11/2005,A,no_hedge_value,no_status,3%," 438,546.28 ",91,0,91,91,3%
PF00001090,DSK00001076,OFF00001001,A,11/12/2004," 91,333,000 ",T,0.02093,USD,2.803863636," 90,846,165 ",11/12/2004,no_in_code,10/25/2004,A,no_hedge_value,no_status,3%," 486,834.51 ",-18,0,-18,-18,3%
PF00001091,DSK00001077,OFF00001001,A,11/12/2004," 109,450,000 ",T,0.02093,USD,2.803863636," 108,847,769 ",11/12/2004,no_in_code,1/25/2005,A,no_hedge_value,no_status,3%," 602,230.52 ",74,0,74,74,3%
PF00001093,DSK00001079,OFF00001002,B,11/15/2004," 44,077,000 ",T,0.02093,USD,2.803863636," 44,004,817 ",11/15/2004,no_in_code,12/15/2004,B,no_hedge_value,no_status,3%," 72,182.57 ",30,0,30,30,3%
PF00001094,DSK00001080,OFF00001001,A,11/15/2004," 340,428,000 ",T,0.02093,USD,2.803863636," 339,850,622 ",11/15/2004,no_in_code,12/16/2004,A,no_hedge_value,no_status,3%," 577,377.89 ",31,0,31,31,3%
PF00001096,DSK00001081,OFF00001001,A,11/16/2004," 88,154,000 ",T,0.02093,USD,2.803863636," 88,009,396 ",11/16/2004,no_in_code,12/16/2004,A,no_hedge_value,no_status,3%," 144,604.33 ",30,0,30,30,3%
PF00001097,DSK00001082,OFF00001001,A,11/16/2004," 356,312,000 ",T,0.02093,USD,2.803863636," 355,748,361 ",11/16/2004,no_in_code,12/15/2004,A,no_hedge_value,no_status,3%," 563,638.81 ",29,0,29,29,3%
PF00001098,DSK00001083,OFF00001001,A,8/10/2004," 451,836,000 ",T,0.02093,USD,2.803863636," 451,003,148 ",11/22/2004,no_in_code,9/13/2004,A,no_hedge_value,no_status,2%," 832,852.48 ",-70,104,34,-70,2%
PF00001101,DSK00001086,OFF00001001,A,11/22/2004," 99,176,000 ",T,0.02093,USD,2.803863636," 99,002,498 ",11/22/2004,no_in_code,12/15/2004,A,no_hedge_value,no_status,3%," 173,501.88 ",23,0,23,23,3%
PF00001102,DSK00001087,OFF00001001,A,11/22/2004," 451,739,200 ",T,0.02093,USD,2.803863636," 451,001,512 ",11/22/2004,no_in_code,12/13/2004,A,no_hedge_value,no_status,3%," 737,688.14 ",21,0,21,21,3%
PF00001103,DSK00001088,OFF00001001,A,11/25/2004," 42,185,550 ",T,0.02093,USD,2.803863636," 42,108,497 ",11/25/2004,no_in_code,12/30/2004,A,no_hedge_value,no_status,3%," 77,052.70 ",35,0,35,35,3%
PF00001106,DSK00001090,OFF00001002,B,12/6/2004," 134,200,000 ",T,0.02169,USD,2.752962174," 133,929,908 ",12/6/2004,no_in_code,1/10/2005,B,no_hedge_value,no_status,3%," 270,091.98 ",35,0,35,35,3%
PF00001109,DSK00001093,OFF00001001,A,12/9/2004," 81,477,000 ",T,0.02169,USD,2.752962174," 81,321,960 ",12/9/2004,no_in_code,1/13/2005,A,no_hedge_value,no_status,3%," 155,040.32 ",35,0,35,35,3%
PF00001110,DSK00001094,OFF00001001,A,12/10/2004," 62,513,000 ",T,0.02169,USD,2.752962174," 62,393,617 ",12/10/2004,no_in_code,1/14/2005,A,no_hedge_value,no_status,3%," 119,383.25 ",35,0,35,35,3%
PF00001111,DSK00001095,OFF00001001,A,12/10/2004," 159,973,000 ",T,0.02169,USD,2.752962174," 159,135,008 ",12/10/2004,no_in_code,3/11/2005,A,no_hedge_value,no_status,3%," 837,991.69 ",91,0,91,91,3%
PF00001116,DSK00001100,OFF00001002,B,12/13/2004," 40,788,000 ",T,0.02169,USD,2.752962174," 40,704,979 ",12/13/2004,no_in_code,1/17/2005,B,no_hedge_value,no_status,3%," 83,021.20 ",35,0,35,35,3%
PF00001117,DSK00001101,OFF00001001,A,12/13/2004," 330,385,000 ",T,0.02169,USD,2.752962174," 329,751,076 ",12/13/2004,no_in_code,1/13/2005,A,no_hedge_value,no_status,3%," 633,923.55 ",31,0,31,31,3%
PF00001118,DSK00001102,OFF00001001,A,12/14/2004," 411,026,000 ",T,0.02169,USD,2.752962174," 410,212,867 ",12/14/2004,no_in_code,1/17/2005,A,no_hedge_value,no_status,3%," 813,133.06 ",34,0,34,34,3%
PF00001121,DSK00001104,OFF00001002,B,12/14/2004," 88,187,000 ",T,0.02169,USD,2.752962174," 88,007,099 ",12/14/2004,no_in_code,1/18/2005,B,no_hedge_value,no_status,3%," 179,901.18 ",35,0,35,35,3%
PF00001122,DSK00001105,OFF00001001,A,12/14/2004," 312,928,000 ",T,0.02169,USD,2.752962174," 312,235,773 ",12/14/2004,no_in_code,1/20/2005,A,no_hedge_value,no_status,3%," 692,226.71 ",37,0,37,37,3%
PF00001124,DSK00001106,OFF00001001,A,12/13/2004," 451,869,000 ",T,0.02169,USD,2.752962174," 451,008,763 ",12/15/2004,no_in_code,1/13/2005,A,no_hedge_value,no_status,3%," 860,236.58 ",29,2,31,29,3%
PF00001125,DSK00001107,OFF00001001,A,12/15/2004," 99,209,000 ",T,0.02169,USD,2.752962174," 99,006,886 ",12/15/2004,no_in_code,1/17/2005,A,no_hedge_value,no_status,3%," 202,114.31 ",33,0,33,33,3%
PF00001127,DSK00001109,OFF00001001,A,12/29/2004," 144,870,000 ",T,0.02169,USD,2.752962174," 144,595,449 ",12/29/2004,no_in_code,1/31/2005,A,no_hedge_value,no_status,3%," 274,550.61 ",33,0,33,33,3%
PF00001128,DSK00001110,OFF00001002,B,1/6/2005," 134,200,000 ",T,0.02125,USD,3.065566191," 133,972,715 ",1/6/2005,no_in_code,2/8/2005,B,no_hedge_value,no_status,3%," 227,284.71 ",33,0,33,33,3%
PF00001129,DSK00001110,OFF00001001,A,1/6/2005," 60,027,000 ",T,0.02125,USD,3.065566191," 59,925,337 ",1/6/2005,no_in_code,2/8/2005,A,no_hedge_value,no_status,3%," 101,663.33 ",33,0,33,33,3%
PF00001130,DSK00001111,OFF00001001,A,1/7/2005," 21,164,000 ",T,0.02125,USD,3.065566191," 21,128,139 ",1/7/2005,no_in_code,2/9/2005,A,no_hedge_value,no_status,3%," 35,860.91 ",33,0,33,33,3%
PF00001131,DSK00001112,OFF00001001,A,1/10/2005," 153,021,000 ",N,0.02125,GBP,4.688721429," 152,456,701 ",1/10/2005,no_in_code,2/9/2005,C,no_hedge_value,no_status,6%," 564,298.64 ",30,0,30,30,6%
PF00001137,DSK00001118,OFF00001001,A,1/12/2005," 131,153,000 ",T,0.02125,USD,3.065566191," 130,938,624 ",1/12/2005,no_in_code,2/11/2005,A,no_hedge_value,no_status,3%," 214,375.63 ",30,0,30,30,3%
PF00001136,DSK00001117,OFF00001001,A,1/12/2005," 62,513,000 ",T,0.02125,USD,3.065566191," 62,399,731 ",1/12/2005,no_in_code,2/14/2005,A,no_hedge_value,no_status,3%," 113,269.38 ",33,0,33,33,3%
PF00001138,DSK00001119,OFF00001001,A,1/13/2005," 41,877,000 ",T,0.02125,USD,3.065566191," 41,806,210 ",1/13/2005,no_in_code,2/15/2005,A,no_hedge_value,no_status,3%," 70,789.53 ",33,0,33,33,3%
PF00001139,DSK00001120,OFF00001001,A,1/13/2005," 387,024,000 ",T,0.02125,USD,3.065566191," 385,005,289 ",1/13/2005,no_in_code,4/15/2005,A,no_hedge_value,no_status,3%," 2,018,711.06 ",92,0,92,92,3%
PF00001140,DSK00001121,OFF00001002,B,1/13/2005," 22,000,000 ",T,0.02125,USD,3.065566191," 21,960,232 ",1/13/2005,no_in_code,2/17/2005,B,no_hedge_value,no_status,3%," 39,768.15 ",35,0,35,35,3%
PF00001141,DSK00001121,OFF00001001,A,1/13/2005," 168,157,000 ",T,0.02125,USD,3.065566191," 167,853,032 ",1/13/2005,no_in_code,2/17/2005,A,no_hedge_value,no_status,3%," 303,967.85 ",35,0,35,35,3%
PF00001146,DSK00001125,OFF00001001,A,1/14/2005," 59,059,000 ",T,0.02125,USD,3.065566191," 58,959,142 ",1/14/2005,no_in_code,2/16/2005,A,no_hedge_value,no_status,3%," 99,857.95 ",33,0,33,33,3%
PF00001147,DSK00001126,OFF00001001,A,1/17/2005," 82,951,000 ",T,0.02125,USD,3.065566191," 82,508,753 ",1/17/2005,no_in_code,4/19/2005,A,no_hedge_value,no_status,3%," 442,246.92 ",92,0,92,92,3%
PF00001144,DSK00001123,OFF00001001,A,1/13/2005," 112,816,000 ",T,0.02125,USD,3.065566191," 112,625,475 ",1/13/2005,no_in_code,2/15/2005,A,no_hedge_value,no_status,3%," 190,524.76 ",33,0,33,33,3%
PF00001149,DSK00001127,OFF00001002,B,1/19/2005," 44,000,000 ",T,0.02125,USD,3.065566191," 43,930,398 ",1/19/2005,no_in_code,2/16/2005,B,no_hedge_value,no_status,3%," 69,602.22 ",28,0,28,28,3%
PF00001150,DSK00001128,OFF00001001,A,1/24/2005," 104,676,000 ",T,0.02125,USD,3.065566191," 104,118,964 ",1/24/2005,no_in_code,4/25/2005,A,no_hedge_value,no_status,3%," 557,036.45 ",91,0,91,91,3%
PF00001151,DSK00001129,OFF00001001,A,1/26/2005," 42,196,000 ",T,0.02125,USD,3.065566191," 42,116,820 ",1/26/2005,no_in_code,3/1/2005,A,no_hedge_value,no_status,3%," 79,179.62 ",34,0,34,34,3%
PF00001152,DSK00001130,OFF00001001,A,1/27/2005," 120,692,000 ",T,0.02125,USD,3.065566191," 120,494,723 ",1/27/2005,no_in_code,2/28/2005,A,no_hedge_value,no_status,3%," 197,276.64 ",32,0,32,32,3%
PF00001154,DSK00001131,OFF00001001,A,2/4/2005," 70,246,000 ",T,0.02106,USD,3.378094," 70,130,907 ",2/4/2005,no_in_code,3/8/2005,A,no_hedge_value,no_status,3%," 115,092.61 ",32,0,32,32,3%
PF00001156,DSK00001133,OFF00001001,A,2/8/2005," 2,310,000 ",T,0.02106,USD,3.378094," 2,306,215 ",2/8/2005,no_in_code,3/9/2005,A,no_hedge_value,no_status,3%," 3,784.76 ",29,0,29,29,3%
PF00001157,DSK00001134,OFF00001001,A,2/8/2005," 78,001,000 ",T,0.02106,USD,3.378094," 77,873,201 ",2/8/2005,no_in_code,3/10/2005,A,no_hedge_value,no_status,3%," 127,798.58 ",30,0,30,30,3%
PF00001158,DSK00001135,OFF00001001,A,2/9/2005," 746,955,000 ",T,0.02106,USD,3.378094," 745,732,909 ",2/9/2005,no_in_code,3/11/2005,A,no_hedge_value,no_status,3%," 1,222,090.52 ",30,0,30,30,3%
PF00001159,DSK00001136,OFF00001001,A,2/9/2005," 132,506,000 ",T,0.02106,USD,3.378094," 132,289,413 ",2/9/2005,no_in_code,3/11/2005,A,no_hedge_value,no_status,3%," 216,587.17 ",30,0,30,30,3%
PF00001160,DSK00001137,OFF00001001,A,2/10/2005," 62,502,000 ",T,0.02106,USD,3.378094," 62,399,838 ",2/10/2005,no_in_code,3/14/2005,A,no_hedge_value,no_status,3%," 102,162.40 ",32,0,32,32,3%
PF00001163,DSK00001140,OFF00001001,A,2/11/2005," 115,516,500 ",T,0.02106,USD,3.378094," 115,327,683 ",2/11/2005,no_in_code,3/15/2005,A,no_hedge_value,no_status,3%," 188,817.05 ",32,0,32,32,3%
PF00001166,DSK00001143,OFF00001001,A,2/15/2005," 224,015,000 ",T,0.02106,USD,3.378094," 223,648,837 ",2/15/2005,no_in_code,3/17/2005,A,no_hedge_value,no_status,3%," 366,162.85 ",30,0,30,30,3%
PF00001167,DSK00001144,OFF00001001,A,2/15/2005," 367,752,000 ",T,0.02106,USD,3.378094," 367,172,327 ",2/15/2005,no_in_code,3/15/2005,A,no_hedge_value,no_status,3%," 579,673.31 ",28,0,28,28,3%
PF00001168,DSK00001144,OFF00001002,B,2/15/2005," 44,000,000 ",T,0.02106,USD,3.378094," 43,930,644 ",2/15/2005,no_in_code,3/15/2005,B,no_hedge_value,no_status,3%," 69,355.50 ",28,0,28,28,3%
PF00001169,DSK00001146,OFF00001001,A,2/24/2005," 97,504,000 ",T,0.02106,USD,3.378094," 97,338,630 ",2/24/2005,no_in_code,2/18/2005,A,no_hedge_value,no_status,3%," 165,370.22 ",-6,0,-6,-6,3%
PF00001170,DSK00001146,OFF00001001,A,2/24/2005," 2,541,000 ",M,0.02106,CHF,0.964959," 2,535,934 ",2/24/2005,no_in_code,2/18/2005,D,no_hedge_value,no_status,3%," 5,066.23 ",-6,0,-6,-6,3%
PF00001172,DSK00001147,OFF00001001,A,2/24/2005," 69,927,000 ",T,0.02106,USD,3.378094," 69,800,837 ",2/24/2005,no_in_code,3/31/2005,A,no_hedge_value,no_status,3%," 126,163.07 ",35,0,35,35,3%
PF00001173,DSK00001148,OFF00001001,A,2/24/2005," 100,837,000 ",T,0.02106,USD,3.378094," 100,672,490 ",2/24/2005,no_in_code,3/4/2005,A,no_hedge_value,no_status,3%," 164,510.03 ",8,0,8,8,3%
PF00001174,DSK00001148,OFF00001001,A,2/24/2005," 3,487,000 ",M,0.02106,CHF,0.964959," 3,480,017 ",2/24/2005,no_in_code,3/4/2005,D,no_hedge_value,no_status,3%," 6,983.23 ",8,0,8,8,3%
PF00001175,DSK00001148,OFF00001001,A,2/24/2005," 9,944,000 ",N,0.02106,GBP,5.0547195," 9,907,405 ",2/24/2005,no_in_code,3/4/2005,C,no_hedge_value,no_status,6%," 36,594.97 ",8,0,8,8,6%
PF00001182,DSK00001152,OFF00001001,A,3/2/2005," 100,870,000 ",T,0.02103,USD,3.363967391," 100,676,198 ",3/2/2005,no_in_code,4/6/2005,A,no_hedge_value,no_status,3%," 193,801.68 ",35,0,35,35,3%
PF00001177,DSK00001149,OFF00001001,A,2/24/2005," 2,211,000 ",M,0.02106,CHF,0.964959," 2,208,792 ",2/24/2005,no_in_code,2/18/2005,D,no_hedge_value,no_status,3%," 2,207.57 ",-6,0,-6,-6,3%
