start_date,creation_date,sell_date,create-sell,start-create,start-sell
12/8/2005,12/14/2005,12/16/2005,2,6,8
12/20/2005,12/20/2005,1/23/2006,34,0,34
12/20/2005,12/20/2005,1/23/2006,34,0,34
12/22/2005,12/22/2005,1/10/2006,19,0,19
12/28/2005,12/28/2005,1/31/2006,34,0,34
12/28/2005,12/28/2005,1/30/2006,33,0,33
1/4/2006,1/4/2006,2/6/2006,33,0,33
1/6/2006,1/6/2006,2/9/2006,34,0,34
1/6/2006,1/6/2006,1/25/2006,19,0,19
1/6/2006,1/6/2006,2/8/2006,33,0,33
1/9/2006,1/9/2006,2/9/2006,31,0,31
1/10/2006,1/10/2006,2/10/2006,31,0,31
1/10/2006,1/10/2006,2/13/2006,34,0,34
1/11/2006,1/11/2006,2/13/2006,33,0,33
1/11/2006,1/11/2006,1/3/2006,-8,0,-8
1/11/2006,1/11/2006,1/13/2006,2,0,2
1/12/2006,1/12/2006,2/15/2006,34,0,34
1/16/2006,1/16/2006,4/21/2006,95,0,95
1/13/2006,1/13/2006,4/18/2006,95,0,95
1/19/2006,1/19/2006,2/21/2006,33,0,33
1/19/2006,1/19/2006,2/20/2006,32,0,32
1/23/2006,1/23/2006,2/10/2006,18,0,18
1/25/2006,1/25/2006,3/1/2006,35,0,35
1/26/2006,1/26/2006,2/23/2006,28,0,28
1/26/2006,1/26/2006,2/23/2006,28,0,28
1/27/2006,1/27/2006,2/28/2006,32,0,32
2/2/2006,2/2/2006,3/6/2006,32,0,32
2/6/2006,2/6/2006,3/8/2006,30,0,30
2/8/2006,2/8/2006,2/28/2006,20,0,20
2/9/2006,2/9/2006,3/10/2006,29,0,29
2/9/2006,2/9/2006,3/13/2006,32,0,32
2/10/2006,2/10/2006,3/14/2006,32,0,32
2/13/2006,2/13/2006,3/15/2006,30,0,30
2/14/2006,2/14/2006,3/16/2006,30,0,30
2/16/2006,2/16/2006,3/20/2006,32,0,32
2/16/2006,2/16/2006,3/20/2006,32,0,32
2/20/2006,2/20/2006,3/21/2006,29,0,29
2/21/2006,2/21/2006,3/30/2006,37,0,37
2/24/2006,2/24/2006,3/31/2006,35,0,35
2/24/2006,2/24/2006,3/10/2006,14,0,14
2/27/2006,2/27/2006,3/29/2006,30,0,30
3/2/2006,3/2/2006,4/3/2006,32,0,32
3/2/2006,3/2/2006,4/3/2006,32,0,32
3/6/2006,3/6/2006,4/10/2006,35,0,35
3/8/2006,3/8/2006,3/27/2006,19,0,19
3/10/2006,3/10/2006,4/18/2006,39,0,39
3/14/2006,3/14/2006,4/18/2006,35,0,35
3/14/2006,3/14/2006,4/18/2006,35,0,35
3/16/2006,3/16/2006,4/20/2006,35,0,35
3/17/2006,3/17/2006,3/6/2006,-11,0,-11
3/17/2006,3/17/2006,4/21/2006,35,0,35
3/17/2006,3/17/2006,4/3/2006,17,0,17
3/23/2006,3/23/2006,4/10/2006,18,0,18
3/29/2006,3/29/2006,4/28/2006,30,0,30
3/30/2006,3/30/2006,5/3/2006,34,0,34
4/6/2006,4/6/2006,5/10/2006,34,0,34
4/6/2006,4/6/2006,4/25/2006,19,0,19
4/7/2006,4/7/2006,5/11/2006,34,0,34
4/10/2006,4/10/2006,5/12/2006,32,0,32
4/12/2006,4/12/2006,5/16/2006,34,0,34
4/12/2006,4/12/2006,5/17/2006,35,0,35
4/12/2006,4/12/2006,7/18/2006,97,0,97
4/13/2006,4/13/2006,4/25/2006,12,0,12
4/13/2006,4/13/2006,5/15/2006,32,0,32
4/18/2006,4/18/2006,5/18/2006,30,0,30
4/18/2006,4/18/2006,5/2/2006,14,0,14
4/19/2006,4/19/2006,7/20/2006,92,0,92
4/21/2006,4/21/2006,7/25/2006,95,0,95
4/26/2006,4/26/2006,5/30/2006,34,0,34
4/28/2006,4/28/2006,5/17/2006,19,0,19
4/28/2006,4/28/2006,6/2/2006,35,0,35
4/28/2006,4/28/2006,6/2/2006,35,0,35
5/2/2006,5/2/2006,6/2/2006,31,0,31
5/5/2006,5/5/2006,6/9/2006,35,0,35
5/9/2006,5/9/2006,6/12/2006,34,0,34
5/10/2006,5/10/2006,6/13/2006,34,0,34
5/12/2006,5/12/2006,6/15/2006,34,0,34
5/11/2006,5/11/2006,6/14/2006,34,0,34
5/15/2006,5/15/2006,6/15/2006,31,0,31
5/16/2006,5/16/2006,6/15/2006,30,0,30
5/16/2006,5/16/2006,6/20/2006,35,0,35
5/18/2006,5/18/2006,6/21/2006,34,0,34
5/23/2006,5/23/2006,6/27/2006,35,0,35
5/24/2006,5/24/2006,6/12/2006,19,0,19
5/24/2006,5/24/2006,6/29/2006,36,0,36
5/30/2006,5/30/2006,7/4/2006,35,0,35
6/1/2006,6/1/2006,7/6/2006,35,0,35
6/1/2006,6/1/2006,7/6/2006,35,0,35
6/8/2006,6/8/2006,6/26/2006,18,0,18
6/8/2006,6/8/2006,7/11/2006,33,0,33
6/9/2006,6/9/2006,7/12/2006,33,0,33
6/12/2006,6/12/2006,7/13/2006,31,0,31
6/13/2006,6/13/2006,7/17/2006,34,0,34
6/14/2006,6/14/2006,7/18/2006,34,0,34
6/16/2006,6/16/2006,7/19/2006,33,0,33
6/19/2006,6/19/2006,7/21/2006,32,0,32
6/22/2006,6/22/2006,7/10/2006,18,0,18
6/26/2006,6/26/2006,7/25/2006,29,0,29
6/27/2006,6/27/2006,7/28/2006,31,0,31
6/27/2006,6/27/2006,7/28/2006,31,0,31
6/28/2006,6/28/2006,7/31/2006,33,0,33
7/3/2006,7/3/2006,8/1/2006,29,0,29
7/6/2006,7/6/2006,8/9/2006,34,0,34
7/7/2006,7/7/2006,8/9/2006,33,0,33
7/11/2006,7/11/2006,8/11/2006,31,0,31
7/11/2006,7/11/2006,8/10/2006,30,0,30
7/11/2006,7/11/2006,8/16/2006,36,0,36
7/12/2006,7/12/2006,8/16/2006,35,0,35
7/13/2006,7/13/2006,8/18/2006,36,0,36
7/13/2006,7/13/2006,10/17/2006,96,0,96
7/17/2006,7/17/2006,8/17/2006,31,0,31
7/18/2006,7/18/2006,10/18/2006,92,0,92
7/19/2006,7/19/2006,8/21/2006,33,0,33
7/21/2006,7/21/2006,10/25/2006,96,0,96
7/21/2006,7/21/2006,8/10/2006,20,0,20
7/21/2006,7/21/2006,8/25/2006,35,0,35
7/21/2006,7/21/2006,8/25/2006,35,0,35
7/26/2006,7/26/2006,8/30/2006,35,0,35
7/26/2006,7/26/2006,8/30/2006,35,0,35
7/27/2006,7/27/2006,8/31/2006,35,0,35
7/28/2006,7/28/2006,9/1/2006,35,0,35
8/2/2006,8/2/2006,9/7/2006,36,0,36
8/7/2006,8/7/2006,9/11/2006,35,0,35
8/7/2006,8/7/2006,9/11/2006,35,0,35
8/8/2006,8/8/2006,8/25/2006,17,0,17
8/9/2006,8/9/2006,9/13/2006,35,0,35
8/10/2006,8/10/2006,9/14/2006,35,0,35
3/21/2006,8/10/2006,4/28/2006,-104,142,38
4/24/2006,8/10/2006,5/31/2006,-71,108,37
5/29/2006,8/10/2006,6/30/2006,-41,73,32
8/11/2006,8/11/2006,9/15/2006,35,0,35
8/17/2006,8/17/2006,9/21/2006,35,0,35
8/23/2006,8/23/2006,9/11/2006,19,0,19
8/23/2006,8/23/2006,9/25/2006,33,0,33
8/23/2006,8/23/2006,9/25/2006,33,0,33
8/28/2006,8/28/2006,9/29/2006,32,0,32
8/29/2006,8/29/2006,9/29/2006,31,0,31
8/29/2006,8/29/2006,9/29/2006,31,0,31
9/5/2006,9/5/2006,10/4/2006,29,0,29
9/5/2006,9/5/2006,10/4/2006,29,0,29
9/6/2006,9/6/2006,10/9/2006,33,0,33
9/7/2006,9/7/2006,10/10/2006,33,0,33
9/7/2006,9/7/2006,10/11/2006,34,0,34
9/8/2006,9/8/2006,10/11/2006,33,0,33
9/11/2006,9/11/2006,10/12/2006,31,0,31
9/11/2006,9/11/2006,8/21/2006,-21,0,-21
9/11/2006,9/11/2006,6/20/2006,-83,0,-83
9/11/2006,9/11/2006,7/21/2006,-52,0,-52
9/12/2006,9/12/2006,10/13/2006,31,0,31
9/13/2006,9/13/2006,10/17/2006,34,0,34
9/13/2006,9/13/2006,10/16/2006,33,0,33
9/14/2006,9/14/2006,10/18/2006,34,0,34
9/18/2006,9/18/2006,10/19/2006,31,0,31
9/19/2006,9/19/2006,10/23/2006,34,0,34
9/21/2006,9/21/2006,10/25/2006,34,0,34
9/21/2006,9/21/2006,8/7/2006,-45,0,-45
9/21/2006,9/21/2006,9/8/2006,-13,0,-13
9/21/2006,9/21/2006,9/29/2006,8,0,8
9/27/2006,9/27/2006,10/31/2006,34,0,34
9/27/2006,9/27/2006,10/27/2006,30,0,30
9/27/2006,9/27/2006,10/27/2006,30,0,30
9/27/2006,9/27/2006,10/31/2006,34,0,34
10/2/2006,10/2/2006,11/2/2006,31,0,31
10/2/2006,10/2/2006,11/7/2006,36,0,36
10/5/2006,10/5/2006,11/8/2006,34,0,34
10/6/2006,10/6/2006,10/25/2006,19,0,19
10/6/2006,10/6/2006,11/10/2006,35,0,35
10/9/2006,10/9/2006,11/10/2006,32,0,32
10/10/2006,10/10/2006,11/14/2006,35,0,35
10/10/2006,10/10/2006,11/8/2006,29,0,29
10/10/2006,10/10/2006,10/12/2006,2,0,2
10/11/2006,10/11/2006,11/17/2006,37,0,37
10/12/2006,10/12/2006,11/15/2006,34,0,34
10/13/2006,10/13/2006,11/15/2006,33,0,33
10/13/2006,10/13/2006,11/15/2006,33,0,33
10/13/2006,10/13/2006,1/17/2007,96,0,96
10/16/2006,10/16/2006,11/20/2006,35,0,35
10/17/2006,10/17/2006,11/21/2006,35,0,35
10/19/2006,10/19/2006,11/21/2006,33,0,33
10/23/2006,10/23/2006,1/25/2007,94,0,94
10/23/2006,10/23/2006,11/10/2006,18,0,18
10/23/2006,10/23/2006,11/27/2006,35,0,35
10/23/2006,10/23/2006,11/27/2006,35,0,35
10/25/2006,10/25/2006,11/29/2006,35,0,35
10/25/2006,10/25/2006,11/29/2006,35,0,35
10/27/2006,10/27/2006,1/15/2007,80,0,80
10/27/2006,10/27/2006,11/30/2006,34,0,34
10/30/2006,10/30/2006,12/4/2006,35,0,35
11/3/2006,11/3/2006,12/5/2006,32,0,32
11/3/2006,11/3/2006,12/5/2006,32,0,32
11/6/2006,11/6/2006,12/8/2006,32,0,32
11/6/2006,11/6/2006,12/11/2006,35,0,35
11/8/2006,11/8/2006,12/11/2006,33,0,33
11/13/2006,11/13/2006,12/15/2006,32,0,32
11/13/2006,11/13/2006,12/13/2006,30,0,30
11/14/2006,11/14/2006,12/15/2006,31,0,31
11/14/2006,11/14/2006,12/15/2006,31,0,31
11/15/2006,11/15/2006,12/18/2006,33,0,33
11/16/2006,11/16/2006,12/19/2006,33,0,33
11/16/2006,11/16/2006,10/11/2006,-36,0,-36
11/16/2006,11/16/2006,11/13/2006,-3,0,-3
11/20/2006,11/20/2006,2/20/2007,92,0,92
11/20/2006,11/20/2006,12/20/2006,30,0,30
11/24/2006,11/24/2006,12/22/2006,28,0,28
11/27/2006,11/27/2006,12/29/2006,32,0,32
11/28/2006,11/28/2006,12/29/2006,31,0,31
11/29/2006,11/29/2006,12/29/2006,30,0,30
11/30/2006,11/30/2006,1/8/2007,39,0,39
12/4/2006,12/4/2006,1/5/2007,32,0,32
12/6/2006,12/6/2006,1/9/2007,34,0,34
12/7/2006,12/7/2006,1/10/2007,34,0,34
12/7/2006,12/7/2006,12/27/2006,20,0,20
12/7/2006,12/7/2006,12/29/2006,22,0,22
12/7/2006,12/7/2006,1/12/2007,36,0,36
12/8/2006,12/8/2006,1/10/2007,33,0,33
12/11/2006,12/11/2006,1/11/2007,31,0,31
12/12/2006,12/12/2006,1/12/2007,31,0,31
12/13/2006,12/13/2006,1/17/2007,35,0,35
12/13/2006,12/13/2006,1/15/2007,33,0,33
12/14/2006,12/14/2006,1/17/2007,34,0,34
12/18/2006,12/18/2006,1/19/2007,32,0,32
12/19/2006,12/19/2006,1/22/2007,34,0,34
12/20/2006,12/20/2006,1/30/2007,41,0,41
12/27/2006,12/27/2006,1/31/2007,35,0,35
12/27/2006,12/27/2006,1/31/2007,35,0,35
12/27/2006,12/27/2006,1/30/2007,34,0,34
12/27/2006,12/27/2006,1/12/2007,16,0,16
12/28/2006,12/28/2006,1/30/2007,33,0,33
1/4/2007,1/4/2007,2/1/2007,28,0,28
1/5/2007,1/5/2007,2/7/2007,33,0,33
1/5/2007,1/5/2007,2/8/2007,34,0,34
